product_id,product_images,gender,product_category,product_name,details,category_type,material,product_subtype,weather_feature,coverage_feature,combined_features,text_complex,weather_label
1447,"[{'https://static.zara.net/photos///2023/I/1/1/p/3122/210/800/22/w/448/3122210800_1_1_1.jpg?ts=1693212788058': 'Image 0 of LEATHER COWBOY ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3122/210/800/22/w/448/3122210800_2_1_1.jpg?ts=1693212790542': 'Image 1 of LEATHER COWBOY ANKLE BOOTS from Zara'}]",women,SHOES,leather cowboy ankle boot,leather cowboystyle ankle boot block heel pull tab point toe heel height cm,Shoes,leather,boot,other,other,leather boot,This is a leather cowboy ankle boot made of leather with other coverage. It is suitable for mild or cool weather.,mild weather
1459,"[{'https://static.zara.net/photos///2023/I/1/1/p/2507/110/107/2/w/448/2507110107_6_1_1.jpg?ts=1690196091314': 'Image 0 of TASSEL LOAFERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2507/110/107/2/w/448/2507110107_6_2_1.jpg?ts=1690196084608': 'Image 1 of TASSEL LOAFERS from Zara'}]",women,SHOES,tassel loafer,flat loafer metallic buckle detail tassel frontsole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,other,loafer,other,other,loafer,This is a tassel loafer made of other with other coverage.,mild weather
1469,"[{'https://static.zara.net/photos///2023/I/1/1/p/2209/210/098/2/w/448/2209210098_1_1_1.jpg?ts=1690984397423': 'Image 0 of KITTEN HEEL SLINGBACK SHOES WITH CHAIN from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2209/210/098/2/w/448/2209210098_2_1_1.jpg?ts=1690984397407': 'Image 1 of KITTEN HEEL SLINGBACK SHOES WITH CHAIN from Zara'}]",women,SHOES,kitten heel slingback shoe chain,kitten heel slingback shoe patentfinish chain detail strap elastic pieceheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,other,shoe,other,other,shoe,This is a kitten heel slingback shoe chain made of other with other coverage.,cool weather
1482,"[{'https://static.zara.net/photos///2023/I/1/1/p/3507/210/808/2/w/448/3507210808_1_1_1.jpg?ts=1691580503552': 'Image 0 of BALLET FLATS WITH SQUARE TOE AND BUCKLE from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3507/210/808/2/w/448/3507210808_2_1_1.jpg?ts=1691580503619': 'Image 1 of BALLET FLATS WITH SQUARE TOE AND BUCKLE from Zara'}]",women,SHOES,ballet flat square toe buckle,ballet flat strap detail buckle square toesole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,other,other,other,other,,This is a ballet flat square toe buckle made of other with other coverage.,mild weather
1483,"[{'https://static.zara.net/photos///2023/S/1/1/p/3508/210/800/2/w/448/3508210800_1_1_1.jpg?ts=1691651563566': 'Image 0 of BALLET FLATS WITH BOW AND SQUARE TOE from Zara'}, {'https://static.zara.net/photos///2023/S/1/1/p/3508/210/800/2/w/448/3508210800_2_1_1.jpg?ts=1691651563573': 'Image 1 of BALLET FLATS WITH BOW AND SQUARE TOE from Zara'}]",women,SHOES,ballet flat bow square toe,ballet flat bow detail square toesole height cm,Shoes,other,bow,other,other,bow,This is a ballet flat bow square toe made of other with other coverage.,mild weather
1512,"[{'https://static.zara.net/photos///2023/I/1/1/p/2228/210/800/2/w/448/2228210800_1_1_1.jpg?ts=1691591567741': 'Image 0 of LEATHER HEELED SHOES WITH INSTEP STRAP from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2228/210/800/2/w/448/2228210800_2_1_1.jpg?ts=1691591567729': 'Image 1 of LEATHER HEELED SHOES WITH INSTEP STRAP from Zara'}]",women,SHOES,leather heel shoe instep strap,leather heel shoe buckle detail strap instep buckle ankle strap fasteningheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather,shoe,other,other,leather shoe,This is a leather heel shoe instep strap made of leather with other coverage. It is suitable for mild or cool weather.,mild weather
1517,"[{'https://static.zara.net/photos///2023/I/1/1/p/3551/210/800/2/w/448/3551210800_1_1_1.jpg?ts=1691679675417': 'Image 0 of SPLIT SUEDE CLOGS WITH BUCKLE from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3551/210/800/2/w/448/3551210800_6_1_1.jpg?ts=1691588474027': 'Image 1 of SPLIT SUEDE CLOGS WITH BUCKLE from Zara'}]",women,SHOES,split suede clog buckle,flat split suede clog buckle round toe sole height cm,Shoes,suede,clog,other,other,suede clog,This is a split suede clog buckle made of suede with other coverage.,cold weather
1525,[],women,SHOES,flat faux patent shoe pointed toe,flat faux patent shoe double buckle strap point toesole height cm,Shoes,faux patent,shoe,other,other,faux patent shoe,This is a flat faux patent shoe pointed toe made of faux patent with other coverage.,mild weather
1532,"[{'https://static.zara.net/photos///2022/I/1/1/p/2227/910/040/2/w/448/2227910040_1_1_1.jpg?ts=1660914216407': 'Image 0 of BLOCK-HEEL FABRIC SHOES from Zara'}, {'https://static.zara.net/photos///2022/I/1/1/p/2227/910/040/2/w/448/2227910040_2_1_1.jpg?ts=1660914216283': 'Image 1 of BLOCK-HEEL FABRIC SHOES from Zara'}]",women,SHOES,blockheel fabric shoe,fabric blockheel court shoe square vamp pointed toeheel height cm,Shoes,other,shoe,other,other,shoe,This is a blockheel fabric shoe made of other with other coverage.,mild weather
1539,"[{'https://static.zara.net/photos///2023/I/1/1/p/3201/210/800/2/w/448/3201210800_1_1_1.jpg?ts=1691580503892': 'Image 0 of HIGH-HEEL MULES from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3201/210/800/2/w/448/3201210800_2_1_1.jpg?ts=1691580503937': 'Image 1 of HIGH-HEEL MULES from Zara'}]",women,SHOES,highheel mule,highheel mule point toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,other,mule,other,other,mule,This is a highheel mule made of other with other coverage.,cool weather
1543,[],women,SHOES,leather cowboyheel ankle boot,heeled leather ankle boot cowboy style point toe zip fasten heel height cm airfit flexible technical latex foam insole design offer great comfort,Shoes,leather,boot,other,other,leather boot,This is a leather cowboyheel ankle boot made of leather with other coverage. It is suitable for mild or cool weather.,mild weather
1544,"[{'https://static.zara.net/photos///2023/V/1/1/p/1114/110/032/2/w/448/1114110032_1_1_1.jpg?ts=1673269002498': 'Image 0 of LEATHER COWBOY ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/V/1/1/p/1114/110/032/2/w/448/1114110032_2_1_1.jpg?ts=1673269002318': 'Image 1 of LEATHER COWBOY ANKLE BOOTS from Zara'}]",women,SHOES,leather cowboy ankle boot,leather cowboystyle ankle boot geometric heel point toe zip fasten sideheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather,boot,other,other,leather boot,This is a leather cowboy ankle boot made of leather with other coverage. It is suitable for mild or cool weather.,mild weather
1557,"[{'https://static.zara.net/photos///2023/I/1/1/p/3518/210/800/2/w/448/3518210800_1_1_1.jpg?ts=1691663457110': 'Image 0 of STUDDED FLAT SLINGBACK SHOES from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3518/210/800/2/w/448/3518210800_2_1_1.jpg?ts=1691663457107': 'Image 1 of STUDDED FLAT SLINGBACK SHOES from Zara'}]",women,SHOES,stud flat slingback shoe,flat slingback shoe stud strap instep buckle strap sole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,other,shoe,other,other,shoe,This is a stud flat slingback shoe made of other with other coverage.,mild weather
1564,"[{'https://static.zara.net/photos///2023/I/1/1/p/1501/210/091/2/w/448/1501210091_1_1_1.jpg?ts=1690466482124': 'Image 0 of METALLIC CROCHET BALLET FLATS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/1501/210/091/2/w/448/1501210091_2_1_1.jpg?ts=1690466484106': 'Image 1 of METALLIC CROCHET BALLET FLATS from Zara'}]",women,SHOES,metallic crochet ballet flat,metalliceffect crochet ballet flat chain ankle strap round toe sole height cm,Shoes,other,other,other,other,,This is a metallic crochet ballet flat made of other with other coverage.,cool weather
1569,"[{'https://static.zara.net/photos///2023/I/1/1/p/1513/210/800/2/w/448/1513210800_1_1_1.jpg?ts=1691073267861': 'Image 0 of BUCKLED DENIM CLOGS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/1513/210/800/2/w/448/1513210800_2_1_1.jpg?ts=1691073267549': 'Image 1 of BUCKLED DENIM CLOGS from Zara'}]",women,SHOES,buckle denim clog,flat denim clog metallic buckle sole height cm,Shoes,denim,clog denim,other,other,denim clog denim,This is a buckle denim clog made of denim with other coverage. It is suitable for mild or cool weather.,mild weather
1579,"[{'https://static.zara.net/photos///2023/I/1/1/p/2590/110/800/2/w/448/2590110800_1_1_1.jpg?ts=1691139836708': 'Image 0 of SATIN BALLET FLATS WITH BOW DETAIL from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2590/110/800/2/w/448/2590110800_2_1_1.jpg?ts=1691139836906': 'Image 1 of SATIN BALLET FLATS WITH BOW DETAIL from Zara'}]",women,SHOES,satin ballet flat bow detail,satin ballet flat bow detail round toesole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,satin,bow,other,other,satin bow,This is a satin ballet flat bow detail made of satin with other coverage.,warm weather
2079,"[{'https://static.zara.net/photos///2023/I/1/1/p/1360/210/800/2/w/448/1360210800_1_1_1.jpg?ts=1692877244578': 'Image 0 of PLATFORM WEDGE SANDALS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/1360/210/800/2/w/448/1360210800_2_1_1.jpg?ts=1692877243778': 'Image 1 of PLATFORM WEDGE SANDALS from Zara'}]",women,SHOES,platform wedge sandal,sandal platform wedge heel wide strap frontheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,other,sandal,other,other,sandal,This is a platform wedge sandal made of other with other coverage.,mild weather
2080,"[{'https://static.zara.net/photos///2023/I/1/1/p/2104/210/800/2/w/448/2104210800_1_1_1.jpg?ts=1692877243696': 'Image 0 of KITTEN HEEL ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2104/210/800/2/w/448/2104210800_2_1_1.jpg?ts=1692877244261': 'Image 1 of KITTEN HEEL ANKLE BOOTS from Zara'}]",women,SHOES,kitten heel ankle boot,kitten heeled ankle boot stretch material point toe heel height cm,Shoes,other,boot,other,other,boot,This is a kitten heel ankle boot made of other with other coverage.,cold weather
2081,"[{'https://static.zara.net/photos///2023/I/1/1/p/3122/210/800/22/w/448/3122210800_1_1_1.jpg?ts=1693212788058': 'Image 0 of LEATHER COWBOY ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3122/210/800/22/w/448/3122210800_2_1_1.jpg?ts=1693212790542': 'Image 1 of LEATHER COWBOY ANKLE BOOTS from Zara'}]",women,SHOES,leather cowboy ankle boot,leather cowboystyle ankle boot block heel pull tab point toe heel height cm,Shoes,leather,boot,other,other,leather boot,This is a leather cowboy ankle boot made of leather with other coverage. It is suitable for mild or cool weather.,mild weather
2082,"[{'https://static.zara.net/photos///2023/I/1/1/p/3143/210/800/2/w/448/3143210800_1_1_1.jpg?ts=1692877244725': 'Image 0 of FABRIC HIGH-HEEL ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3143/210/800/2/w/448/3143210800_2_1_1.jpg?ts=1692877244342': 'Image 1 of FABRIC HIGH-HEEL ANKLE BOOTS from Zara'}]",women,SHOES,fabric highheel ankle boot,highheel stretchy fabric ankle boot point toeheel height cm,Shoes,other,boot,other,other,boot,This is a fabric highheel ankle boot made of other with other coverage.,cold weather
2083,"[{'https://static.zara.net/photos///2023/I/1/1/p/2158/210/800/2/w/448/2158210800_1_1_1.jpg?ts=1692877244487': 'Image 0 of LEATHER HEELED ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2158/210/800/2/w/448/2158210800_2_1_1.jpg?ts=1692877244006': 'Image 1 of LEATHER HEELED ANKLE BOOTS from Zara'}]",women,SHOES,leather heel ankle boot,leather ankle boot block heel point toe elastic gore pull tab heel height cm,Shoes,leather,boot,other,other,leather boot,This is a leather heel ankle boot made of leather with other coverage. It is suitable for mild or cool weather.,mild weather
2084,"[{'https://static.zara.net/photos///2023/I/1/1/p/2508/210/197/2/w/448/2508210197_6_1_1.jpg?ts=1692689793210': 'Image 0 of CONTRAST LOAFERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2508/210/197/2/w/448/2508210197_6_2_1.jpg?ts=1692689793621': 'Image 1 of CONTRAST LOAFERS from Zara'}]",women,SHOES,contrast loafer,flat loafer contrast vamp penny strap round toe sole height cm,Shoes,other,loafer,other,other,loafer,This is a contrast loafer made of other with other coverage.,mild weather
2085,"[{'https://static.zara.net/photos///2023/I/1/1/p/5015/210/202/2/w/448/5015210202_1_1_1.jpg?ts=1692702215055': 'Image 0 of RUNNING TRAINERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/5015/210/202/2/w/448/5015210202_2_1_1.jpg?ts=1692702215013': 'Image 1 of RUNNING TRAINERS from Zara'}]",women,SHOES,run trainer,run trainer chunky sole pull tab laceup fasten sole height cm,Shoes,other,trainer,other,other,trainer,This is a run trainer made of other with other coverage.,cool weather
2086,"[{'https://static.zara.net/photos///2023/I/1/1/p/5040/210/001/2/w/448/5040210001_6_1_1.jpg?ts=1692797405698': 'Image 0 of RUNNING TRAINERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/5040/210/001/2/w/448/5040210001_6_2_1.jpg?ts=1692797405976': 'Image 1 of RUNNING TRAINERS from Zara'}]",women,SHOES,run trainer,run trainer chunky sole laceup fasten sole height cm,Shoes,other,trainer,other,other,trainer,This is a run trainer made of other with other coverage.,cool weather
2087,"[{'https://static.zara.net/photos///2023/I/1/1/p/3530/210/800/2/w/448/3530210800_1_1_1.jpg?ts=1692702214278': 'Image 0 of TRACK-SOLE MARY JANES WITH BUCKLE from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3530/210/800/2/w/448/3530210800_6_1_1.jpg?ts=1692718058945': 'Image 1 of TRACK-SOLE MARY JANES WITH BUCKLE from Zara'}]",women,SHOES,tracksole mary jane buckle,mary jane patent finish chunky track sole round toe buckle fasten sole height cm,Shoes,patent,other,other,other,patent,This is a tracksole mary jane buckle made of patent with other coverage.,mild weather
2088,"[{'https://static.zara.net/photos///2023/I/1/1/p/1500/210/800/2/w/448/1500210800_1_1_1.jpg?ts=1692702215059': 'Image 0 of FLAT TRACK SHOES from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/1500/210/800/2/w/448/1500210800_2_1_1.jpg?ts=1692702215568': 'Image 1 of FLAT TRACK SHOES from Zara'}]",women,SHOES,flat track shoe,flat track sole shoe buckle strap instep pull tab round toesole height cm,Shoes,other,shoe,other,other,shoe,This is a flat track shoe made of other with other coverage.,mild weather
2089,"[{'https://static.zara.net/photos///2023/I/1/1/p/1100/210/017/2/w/448/1100210017_1_1_1.jpg?ts=1692705621311': 'Image 0 of HEELED DENIM ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/1100/210/017/2/w/448/1100210017_2_1_1.jpg?ts=1692705622021': 'Image 1 of HEELED DENIM ANKLE BOOTS from Zara'}]",women,SHOES,heel denim ankle boot,blockheel ankle boot denim fabric pleated detail calf point toe heel height cm,Shoes,denim,boot denim,other,other,denim boot denim,This is a heel denim ankle boot made of denim with other coverage. It is suitable for mild or cool weather.,mild weather
2090,"[{'https://static.zara.net/photos///2023/I/1/1/p/2501/110/105/12/w/448/2501110105_1_1_1.jpg?ts=1692782359918': 'Image 0 of SPLIT SUEDE LOAFERS WITH BUCKLE from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2501/110/105/12/w/448/2501110105_2_1_1.jpg?ts=1692782361535': 'Image 1 of SPLIT SUEDE LOAFERS WITH BUCKLE from Zara'}]",women,SHOES,split suede loafer buckle,split suede flat loafer metallic buckle detail frontsole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,suede,loafer,other,other,suede loafer,This is a split suede loafer buckle made of suede with other coverage.,warm weather
2091,"[{'https://static.zara.net/photos///2023/V/1/1/p/2505/110/800/2/w/448/2505110800_2_2_1.jpg?ts=1675249691634': 'Image 0 of SOFT LEATHER LOAFERS WITH BUCKLE from Zara'}, {'https://static.zara.net/photos///2023/V/1/1/p/2505/110/800/2/w/448/2505110800_6_1_1.jpg?ts=1674822021631': 'Image 1 of SOFT LEATHER LOAFERS WITH BUCKLE from Zara'}]",women,SHOES,soft leather loafer buckle,flat soft leather loafer metallic buckle sole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather,loafer,other,other,leather loafer,This is a soft leather loafer buckle made of leather with other coverage. It is suitable for mild or cool weather.,mild weather
2092,"[{'https://static.zara.net/photos///2023/I/1/1/p/5013/210/202/2/w/448/5013210202_1_1_1.jpg?ts=1692702214308': 'Image 0 of TECHNICAL RUNNING TRAINERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/5013/210/202/2/w/448/5013210202_2_1_1.jpg?ts=1692702214257': 'Image 1 of TECHNICAL RUNNING TRAINERS from Zara'}]",women,SHOES,technical running trainer,run trainers adjustable elastic drawstring pull tab backsole height cm,Shoes,other,trainer,other,other,trainer,This is a technical running trainer made of other with other coverage.,warm weather
2093,"[{'https://static.zara.net/photos///2023/I/1/1/p/2314/210/098/2/w/448/2314210098_1_1_1.jpg?ts=1692702214766': 'Image 0 of SATIN SANDALS WITH RHINESTONES from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2314/210/098/2/w/448/2314210098_2_1_1.jpg?ts=1692702214820': 'Image 1 of SATIN SANDALS WITH RHINESTONES from Zara'}]",women,SHOES,satin sandal rhinestone,satin highheel sandal thin strap rhinestone round toe heel height cm,Shoes,satin,sandal,other,other,satin sandal,This is a satin sandal rhinestone made of satin with other coverage.,warm weather
2094,"[{'https://static.zara.net/photos///2023/I/1/1/p/2207/210/800/2/w/448/2207210800_1_1_1.jpg?ts=1692702215549': 'Image 0 of HIGH-HEEL SLINGBACK SHOES WITH FLOWER from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/2207/210/800/2/w/448/2207210800_2_1_1.jpg?ts=1692702215591': 'Image 1 of HIGH-HEEL SLINGBACK SHOES WITH FLOWER from Zara'}]",women,SHOES,highheel slingback shoe flower,heel slingback shoe flower detail point toe strap backheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,other,shoe,other,other,shoe,This is a highheel slingback shoe flower made of other with other coverage.,cool weather
2095,"[{'https://static.zara.net/photos///2023/I/1/1/p/3212/210/800/2/w/448/3212210800_2_1_1.jpg?ts=1692705621544': 'Image 0 of KITTEN HEEL SLINGBACK SHOES from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3212/210/800/2/w/448/3212210800_6_1_1.jpg?ts=1692800056011': 'Image 1 of KITTEN HEEL SLINGBACK SHOES from Zara'}]",women,SHOES,kitten heel slingback shoe,kitten heel slingback shoe buckle strap point toe heel height cm,Shoes,other,shoe,other,other,shoe,This is a kitten heel slingback shoe made of other with other coverage.,cool weather
2096,"[{'https://static.zara.net/photos///2023/I/1/1/p/3237/210/902/2/w/448/3237210902_1_1_1.jpg?ts=1691139835386': 'Image 0 of KITTEN HEEL SLINGBACK SHOES from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3237/210/902/2/w/448/3237210902_2_1_1.jpg?ts=1691139836330': 'Image 1 of KITTEN HEEL SLINGBACK SHOES from Zara'}]",women,SHOES,kitten heel slingback shoe,kitten heel slingback shoe buckle strap point toe heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,other,shoe,other,other,shoe,This is a kitten heel slingback shoe made of other with other coverage.,cool weather
2097,"[{'https://static.zara.net/photos///2023/I/1/1/p/1201/210/500/2/w/448/1201210500_2_1_1.jpg?ts=1692705622421': 'Image 0 of EMBELLISHED LEATHER SLINGBACK SHOES from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/1201/210/500/2/w/448/1201210500_6_1_1.jpg?ts=1684755035302': 'Image 1 of EMBELLISHED LEATHER SLINGBACK SHOES from Zara'}]",women,SHOES,embellish leather slingback shoe,leather heel slingback shoe embellish detail strap block heelheel height cm,Shoes,leather,shoe,other,other,leather shoe,This is a embellish leather slingback shoe made of leather with other coverage. It is suitable for mild or cool weather.,mild weather
2098,"[{'https://static.zara.net/photos///2023/I/1/1/p/1101/210/800/2/w/448/1101210800_1_1_1.jpg?ts=1692705621445': 'Image 0 of FABRIC HIGH HEEL ANKLE BOOTS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/1101/210/800/2/w/448/1101210800_2_1_1.jpg?ts=1692705622280': 'Image 1 of FABRIC HIGH HEEL ANKLE BOOTS from Zara'}]",women,SHOES,fabric high heel ankle boot,fabric highheel ankle boot block heel zip fasten heel height cm,Shoes,other,boot,other,other,boot,This is a fabric high heel ankle boot made of other with other coverage.,cold weather
2099,"[{'https://static.zara.net/photos///2022/I/1/1/p/2227/910/040/2/w/448/2227910040_1_1_1.jpg?ts=1660914216407': 'Image 0 of BLOCK-HEEL FABRIC SHOES from Zara'}, {'https://static.zara.net/photos///2022/I/1/1/p/2227/910/040/2/w/448/2227910040_2_1_1.jpg?ts=1660914216283': 'Image 1 of BLOCK-HEEL FABRIC SHOES from Zara'}]",women,SHOES,blockheel fabric shoe,fabric blockheel court shoe square vamp pointed toeheel height cm,Shoes,other,shoe,other,other,shoe,This is a blockheel fabric shoe made of other with other coverage.,mild weather
2100,"[{'https://static.zara.net/photos///2023/I/1/1/p/3546/210/800/2/w/448/3546210800_1_1_1.jpg?ts=1692354605209': 'Image 0 of BALLERINAS WITH BOW from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/3546/210/800/2/w/448/3546210800_2_1_1.jpg?ts=1692354604822': 'Image 1 of BALLERINAS WITH BOW from Zara'}]",women,SHOES,ballerinas bow,ballet flat bow detail round toesole height cm,Shoes,other,bow,other,other,bow,This is a ballerinas bow made of other with other coverage.,mild weather
2101,"[{'https://static.zara.net/photos///2023/I/1/1/p/1812/210/091/2/w/0/1812210091_6_1_1.jpg?ts=1690802852524': 'Image 0 of EMBELLISHED BLOCK HEEL SLINGBACK SHOES from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/1812/210/091/2/w/448/1812210091_6_2_1.jpg?ts=1690802852792': 'Image 1 of EMBELLISHED BLOCK HEEL SLINGBACK SHOES from Zara'}]",women,SHOES,embellish block heel slingback shoe,block heel slingback court shoe embellish metal square toe adjustable buckle fastening strap heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,other,shoe,other,other,shoe,This is a embellish block heel slingback shoe made of other with other coverage.,mild weather
2102,"[{'https://static.zara.net/photos///2023/I/1/1/p/5403/110/001/2/w/448/5403110001_6_1_1.jpg?ts=1686235185411': 'Image 0 of PLATFORM SNEAKERS from Zara'}, {'https://static.zara.net/photos///2023/I/1/1/p/5403/110/001/2/w/448/5403110001_6_2_1.jpg?ts=1686235185349': 'Image 1 of PLATFORM SNEAKERS from Zara'}]",women,SHOES,platform sneaker,trainer feature platform sole laceup fasten sole height cm starfit flexible technical polyurethane foam insole design offer great comfortview,Shoes,polyurethane,trainer,other,other,polyurethane trainer,This is a platform sneaker made of polyurethane with other coverage.,warm weather
