product_images,gender,product_category,product_name,details,category_type,material,product_subtype,weather_feature,coverage_feature,combined_features,text_complex,weather_label
"[{'https://static.zara.net/photos///2023/I/0/1/p/6147/177/407/2/w/448/6147177407_6_1_1.jpg?ts=1691592012421': 'Image 0 of Z1975 STRAIGHT-FIT HIGH-WAIST FULL LENGTH JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6147/177/407/2/w/448/6147177407_6_2_1.jpg?ts=1691592012672': 'Image 1 of Z1975 STRAIGHT-FIT HIGH-WAIST FULL LENGTH JEANS from Zara'}]",women,JEANS,z straightfit highwaist length jean,highwaist jean pocket fade effect straight extralong leg zip fly metallic button fastening,Bottom,other,jean,other,other,jean,This is a z straightfit highwaist length jean,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/5862/170/406/2/w/448/5862170406_1_1_1.jpg?ts=1692892310709': 'Image 0 of Z1975 FLARED HIGH-WAIST JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5862/170/406/2/w/448/5862170406_2_1_1.jpg?ts=1692892311442': 'Image 1 of Z1975 FLARED HIGH-WAIST JEANS from Zara'}]",women,JEANS,z flare highwaist jean,highrise flarefade highrise jean fivepocket design flare hem zip fly metal button fastening,Bottom,other,jean,other,other,jean,This is a z flare highwaist jean,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/2753/235/800/2/w/448/2753235800_1_1_1.jpg?ts=1691758137997': 'Image 0 of PLEATED HIGH-WAIST BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2753/235/800/2/w/448/2753235800_2_1_1.jpg?ts=1691758136958': 'Image 1 of PLEATED HIGH-WAIST BERMUDA SHORTS from Zara'}]",women,SHORTS_SKORTS,pleated highwaist bermuda short,highwaist bermuda short dart pocket rear false flap pocket zip fly interior button metal hook fasten,Bottom,other,bermuda short,other,short,bermuda short short,This is a pleated highwaist bermuda short with short coverage. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/2753/435/800/2/w/448/2753435800_1_1_1.jpg?ts=1691758135751': 'Image 0 of STRAIGHT-LEG TROUSERS WITH TURN-UP HEMS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2753/435/800/2/w/448/2753435800_2_1_1.jpg?ts=1691758135749': 'Image 1 of STRAIGHT-LEG TROUSERS WITH TURN-UP HEMS from Zara'}]",women,TROUSERS,straightleg trouser turnup hem,highwaist trouser feature pocket rear false welt pocket straightleg design turnup hem zip fly interior button metal hook fasten,Bottom,other,trouser,other,other,trouser,This is a straightleg trouser turnup hem,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1478/331/401/2/w/448/1478331401_1_1_1.jpg?ts=1691758139505': 'Image 0 of STRAIGHT-LEG TROUSERS WITH TURN-UP HEMS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1478/331/401/2/w/448/1478331401_2_1_1.jpg?ts=1691758140451': 'Image 1 of STRAIGHT-LEG TROUSERS WITH TURN-UP HEMS from Zara'}]",women,TROUSERS,straightleg trouser turnup hem,highwaist trouser pocket false welt pocket straightleg design turnup hem zip fly inside button metal hook fasten,Bottom,other,trouser,other,other,trouser,This is a straightleg trouser turnup hem,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/220/803/2/w/448/9929220803_1_1_1.jpg?ts=1691593335651': 'Image 0 of STRAIGHT FIT TROUSERS WITH BUTTONS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/220/803/2/w/448/9929220803_2_1_1.jpg?ts=1691593338121': 'Image 1 of STRAIGHT FIT TROUSERS WITH BUTTONS from Zara'}]",women,TROUSERS,straight fit trouser button,highwaist trouser elastic waistband pocket decorative golden button false welt pocket straightleg design,Bottom,other,trouser,other,other,trouser,This is a straight fit trouser button,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/0779/158/800/2/w/448/0779158800_1_1_1.jpg?ts=1692270090725': 'Image 0 of PAPERBAG TROUSERS WITH BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0779/158/800/2/w/448/0779158800_2_1_1.jpg?ts=1692270090702': 'Image 1 of PAPERBAG TROUSERS WITH BELT from Zara'}]",women,TROUSERS,paperbag trouser belt,highwaist trouser dart pocket patch pocket flap adjustable hem button fasten zip fly interior button metal hook fasten belt buckle metal stud,Bottom,other,belt trouser,other,other,belt trouser,This is a paperbag trouser belt,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/2216/118/712/17/w/448/2216118712_1_1_1.jpg?ts=1689675945857': 'Image 0 of HIGH-WAIST REGULAR TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2216/118/712/17/w/448/2216118712_2_1_1.jpg?ts=1689675940145': 'Image 1 of HIGH-WAIST REGULAR TROUSERS from Zara'}]",women,TROUSERS,highwaist regular trouser,flow highwaist trouser straightleg design invisible zip fastening,Bottom,other,trouser,other,other,trouser,This is a highwaist regular trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/7595/816/508/2/w/448/7595816508_1_1_1.jpg?ts=1685693896396': 'Image 0 of HIGH-WAIST WIDE-LEG TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7595/816/508/2/w/448/7595816508_2_1_1.jpg?ts=1685693894757': 'Image 1 of HIGH-WAIST WIDE-LEG TROUSERS from Zara'}]",women,TROUSERS,highwaist wideleg trouser,highwaist trouser viscose blend wideleg design invisible zip fastening,Bottom,viscose,trouser,other,other,viscose trouser,This is a highwaist wideleg trouser made of viscose. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/7980/117/632/2/w/448/7980117632_1_1_1.jpg?ts=1691658205973': 'Image 0 of HIGH-WAISTED STRAIGHT CUT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7980/117/632/2/w/448/7980117632_2_1_1.jpg?ts=1691658206568': 'Image 1 of HIGH-WAISTED STRAIGHT CUT TROUSERS from Zara'}]",women,TROUSERS,highwaiste straight cut trouser,highwaist trouser pocket rear welt pocket straightleg design zip fly button metal hook fasten,Bottom,other,trouser,other,other,trouser,This is a highwaiste straight cut trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/7563/242/401/2/w/448/7563242401_1_1_1.jpg?ts=1691152491316': 'Image 0 of WIDE-LEG POPLIN TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7563/242/401/2/w/448/7563242401_2_1_1.jpg?ts=1691152492335': 'Image 1 of WIDE-LEG POPLIN TROUSERS from Zara'}]",women,TROUSERS,wideleg poplin trouser,midrise trouser cotton elasticate waistband adjustable drawstring inseam pocket wideleg design,Bottom,cotton poplin,trouser,other,other,cotton poplin trouser,This is a wideleg poplin trouser made of cotton poplin. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/7656/586/251/3/w/448/7656586251_1_1_1.jpg?ts=1688127028640': 'Image 0 of DOUBLE-WAIST LINEN BLEND TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7656/586/251/3/w/448/7656586251_2_1_1.jpg?ts=1688127026170': 'Image 1 of DOUBLE-WAIST LINEN BLEND TROUSERS from Zara'}]",women,TROUSERS,doublewaist linen blend trouser,highwaist trouser linen blend double waistband matching fabric belt loop pocket rear welt pocket straight leg zip button fastening,Bottom,linen,belt trouser,other,other,linen belt trouser,This is a doublewaist linen blend trouser made of linen. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/7993/967/802/2/w/448/7993967802_1_1_1.jpg?ts=1689761568314': 'Image 0 of LINEN-BLEND FLARED TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7993/967/802/2/w/448/7993967802_2_1_1.jpg?ts=1689761567008': 'Image 1 of LINEN-BLEND FLARED TROUSERS from Zara'}]",women,TROUSERS,linenblend flare trouser,midrise trouser lyocell linen blend belt loop pocket zip button fastening,Bottom,linen lyocell,belt trouser,other,other,linen lyocell belt trouser,This is a linenblend flare trouser made of linen lyocell. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/329/800/2/w/448/9929329800_1_1_1.jpg?ts=1692876611654': 'Image 0 of HIGH-WAIST CULOTTE TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/329/800/2/w/448/9929329800_2_1_1.jpg?ts=1692876613115': 'Image 1 of HIGH-WAIST CULOTTE TROUSERS from Zara'}]",women,TROUSERS,highwaist culotte trouser,highwaist trouser feature pocket rear welt pocket short wide leg design zip fly interior button metal hook fasten,Bottom,other,short trouser,other,short,short trouser short,This is a highwaist culotte trouser with short coverage. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/8372/252/711/2/w/448/8372252711_1_1_1.jpg?ts=1690366718687': 'Image 0 of CARROT FIT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8372/252/711/2/w/448/8372252711_2_1_1.jpg?ts=1690366718562': 'Image 1 of CARROT FIT TROUSERS from Zara'}]",women,TROUSERS,carrot fit trouser,highwaist trouser dart pocket false welt pocket hem tab button zip fly button fastening,Bottom,other,trouser,other,other,trouser,This is a carrot fit trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/8365/532/251/2/w/448/8365532251_1_1_1.jpg?ts=1691577077844': 'Image 0 of DARTED WIDE-LEG TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8365/532/251/2/w/448/8365532251_2_1_1.jpg?ts=1691577080061': 'Image 1 of DARTED WIDE-LEG TROUSERS from Zara'}]",women,TROUSERS,dart wideleg trouser,highwaist trouser dart pocket rear false welt pocket wideleg design zip fly interior button metal hook fasten,Bottom,other,trouser,other,other,trouser,This is a dart wideleg trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4661/513/800/2/w/448/4661513800_2_1_1.jpg?ts=1691075737418': 'Image 0 of FULL LENGTH TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4661/513/800/2/w/448/4661513800_1_1_1.jpg?ts=1691075738853': 'Image 1 of FULL LENGTH TROUSERS from Zara'}]",women,TROUSERS,length trouser,highwaist trouser feature pocket false rear welt pocket pleated detail zip fly interior button metal hook fasten,Bottom,other,trouser,other,other,trouser,This is a length trouser,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/3067/504/800/2/w/448/3067504800_1_1_1.jpg?ts=1691075812348': 'Image 0 of MIDI SKIRT WITH BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3067/504/800/2/w/448/3067504800_2_1_1.jpg?ts=1691075805376': 'Image 1 of MIDI SKIRT WITH BELT from Zara'}]",women,SKIRTS,midi skirt belt,highwaist skirt belt loop false belt metal clip invisible zip fastening,Bottom,other,belt skirt,other,midi,belt skirt midi,This is a midi skirt belt with midi coverage,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/9598/069/800/2/w/448/9598069800_1_1_1.jpg?ts=1690985893001': 'Image 0 of KNIT MIDI SKIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9598/069/800/2/w/448/9598069800_2_1_1.jpg?ts=1690985893032': 'Image 1 of KNIT MIDI SKIRT from Zara'}]",women,SKIRTS,knit midi skirt,highwaist skirt feature elastic waistband vent hem,Bottom,knit,skirt,knit,midi,knit skirt knit midi,This is a knit midi skirt made of knit with midi coverage. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/5039/634/044/2/w/448/5039634044_1_1_1.jpg?ts=1692202685078': 'Image 0 of TEXTURED JACQUARD TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5039/634/044/2/w/448/5039634044_2_1_1.jpg?ts=1692202685762': 'Image 1 of TEXTURED JACQUARD TROUSERS from Zara'}]",women,TROUSERS,texture jacquard trouser,highwaist trouser adjustable waistband matching drawstring texture jacquard fabric detail wideleg design,Bottom,other,trouser,other,other,trouser,This is a texture jacquard trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/8003/850/814/2/w/448/8003850814_6_1_1.jpg?ts=1691659889962': 'Image 0 of STRAIGHT FIT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8003/850/814/2/w/448/8003850814_6_2_1.jpg?ts=1691659890211': 'Image 1 of STRAIGHT FIT TROUSERS from Zara'}]",women,TROUSERS,straight fit trouser,highwaist trouser pocket false rear pocket straightleg design zip fly interior button metal hook fasten,Bottom,other,trouser,other,other,trouser,This is a straight fit trouser,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/7740/102/526/2/w/448/7740102526_1_1_1.jpg?ts=1688124692393': 'Image 0 of LINEN PALAZZO TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7740/102/526/2/w/448/7740102526_2_1_1.jpg?ts=1688547302125': 'Image 1 of LINEN PALAZZO TROUSERS from Zara'}]",women,TROUSERS,linen palazzo trouser,highwaist trouser linen elasticate waist adjustable drawstring pocket wideleg design,Bottom,linen,trouser,other,other,linen trouser,This is a linen palazzo trouser made of linen. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/8176/967/515/2/w/448/8176967515_1_1_1.jpg?ts=1688124232161': 'Image 0 of LINEN BLEND MIDI SKIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8176/967/515/2/w/448/8176967515_2_1_1.jpg?ts=1688124231862': 'Image 1 of LINEN BLEND MIDI SKIRT from Zara'}]",women,SKIRTS,linen blend midi skirt,midrise midi skirt linen blend flare hem invisible zip fastening,Bottom,linen,skirt,other,midi,linen skirt midi,This is a linen blend midi skirt made of linen with midi coverage. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/7827/342/800/3/w/448/7827342800_1_1_1.jpg?ts=1689782314809': 'Image 0 of FLOWING CARGO TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7827/342/800/3/w/448/7827342800_2_1_1.jpg?ts=1689782319772': 'Image 1 of FLOWING CARGO TROUSERS from Zara'}]",women,TROUSERS,flow cargo trouser,midrise flow trouser feature adjustable elastic waistband drawstring patch pocket flap pocket contrast visible topstitche detail,Bottom,other,trouser,other,other,trouser,This is a flow cargo trouser,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/7563/250/704/2/w/448/7563250704_2_1_1.jpg?ts=1688553942985': 'Image 0 of CULOTTES WITH TOPSTITCHING DETAIL from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7563/250/704/2/w/448/7563250704_1_1_1.jpg?ts=1688553942814': 'Image 1 of CULOTTES WITH TOPSTITCHING DETAIL from Zara'}]",women,TROUSERS,culotte topstitching detail,highwaist trouser cotton blend fabric belt loop match visible topstitching detail wideleg design zip fly button fastening,Bottom,cotton,belt trouser,other,other,cotton belt trouser,This is a culotte topstitching detail made of cotton. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4043/256/802/2/w/448/4043256802_6_1_1.jpg?ts=1689760473670': 'Image 0 of LINEN WRAP SKIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4043/256/802/2/w/448/4043256802_6_2_1.jpg?ts=1689760469138': 'Image 1 of LINEN WRAP SKIRT from Zara'}]",women,SKIRTS,linen wrap skirt,midrise midi skirt linen contrast pronounce topstitching detail fray trim wrapstyle fasten tie fabric,Bottom,linen,skirt,other,midi,linen skirt midi,This is a linen wrap skirt made of linen with midi coverage. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/8411/966/712/2/w/448/8411966712_1_1_1.jpg?ts=1692259577343': 'Image 0 of MINIMALIST WIDE-LEG SATIN TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8411/966/712/2/w/448/8411966712_2_1_1.jpg?ts=1692259577537': 'Image 1 of MINIMALIST WIDE-LEG SATIN TROUSERS from Zara'}]",women,TROUSERS,minimalist wideleg satin trouser,midwaist trouser viscose elasticate waistband adjustable drawstring pocket wideleg design,Bottom,satin viscose,trouser,other,other,satin viscose trouser,This is a minimalist wideleg satin trouser made of satin viscose. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/8197/231/407/2/w/448/8197231407_1_1_1.jpg?ts=1691756600520': 'Image 0 of TRF MOM FIT HIGH-WAIST JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8197/231/407/2/w/448/8197231407_2_1_1.jpg?ts=1691756602093': 'Image 1 of TRF MOM FIT HIGH-WAIST JEANS from Zara'}]",women,JEANS,trf mom fit highwaist jean,highwaist ankle lengthfade highwaist jean fivepocket design zip fly metal button fastening,Bottom,other,jean,other,other,jean,This is a trf mom fit highwaist jean,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/2142/163/528/2/w/448/2142163528_1_1_1.jpg?ts=1692787462870': 'Image 0 of KNIT MIDI SKIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2142/163/528/2/w/448/2142163528_2_1_1.jpg?ts=1692787463253': 'Image 1 of KNIT MIDI SKIRT from Zara'}]",women,SKIRTS,knit midi skirt,midi skirt wool alpaca blend feature elastic highwaist waistband slit hem,Bottom,alpaca knit wool,skirt,knit,midi,alpaca knit wool skirt knit midi,This is a knit midi skirt made of alpaca knit wool with midi coverage. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/9598/069/800/2/w/448/9598069800_1_1_1.jpg?ts=1690985893001': 'Image 0 of KNIT MIDI SKIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9598/069/800/2/w/448/9598069800_2_1_1.jpg?ts=1690985893032': 'Image 1 of KNIT MIDI SKIRT from Zara'}]",women,SKIRTS,knit midi skirt,highwaist skirt feature elastic waistband vent hem,Bottom,knit,skirt,knit,midi,knit skirt knit midi,This is a knit midi skirt made of knit with midi coverage. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/5802/081/105/2/w/448/5802081105_1_1_1.jpg?ts=1691141749664': 'Image 0 of KNIT STRIPED CULOTTES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5802/081/105/2/w/448/5802081105_2_1_1.jpg?ts=1691141750580': 'Image 1 of KNIT STRIPED CULOTTES from Zara'}]",women,TROUSERS,knit striped culotte,highwaist trouser elastic waistband wideleg design,Bottom,knit,trouser,knit,other,knit trouser knit,This is a knit striped culotte made of knit. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/2142/149/804/3/w/448/2142149804_1_1_1.jpg?ts=1690378667935': 'Image 0 of KNIT SEMI-SHEER STRAIGHT SKIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2142/149/804/3/w/448/2142149804_2_1_1.jpg?ts=1690378663009': 'Image 1 of KNIT SEMI-SHEER STRAIGHT SKIRT from Zara'}]",women,SKIRTS,knit semisheer straight skirt,highwaist skirt elastic waistbandthis garment line,Bottom,knit semisheer,skirt,knit,other,knit semisheer skirt knit,This is a knit semisheer straight skirt made of knit semisheer. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/2142/129/800/2/w/448/2142129800_1_1_1.jpg?ts=1690371173209': 'Image 0 of SEMI-SHEER KNIT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2142/129/800/2/w/448/2142129800_2_1_1.jpg?ts=1690371173773': 'Image 1 of SEMI-SHEER KNIT TROUSERS from Zara'}]",women,TROUSERS,semisheer knit trouser,highwaist trouser feature elastic waistband adjustable drawstring elasticate cuff hemsthis garment line,Bottom,knit semisheer,trouser,knit,other,knit semisheer trouser knit,This is a semisheer knit trouser made of knit semisheer. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4938/103/712/2/w/448/4938103712_1_1_1.jpg?ts=1689854372480': 'Image 0 of KNIT SKIRT WITH BUCKLES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4938/103/712/2/w/448/4938103712_2_1_1.jpg?ts=1689854486657': 'Image 1 of KNIT SKIRT WITH BUCKLES from Zara'}]",women,SKIRTS,knit skirt buckle,highwaist skirt buckle crossover patch pocket flap buckle flare hem,Bottom,knit,skirt,knit,other,knit skirt knit,This is a knit skirt buckle made of knit. It is suitable for cold weather.,cold weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/3471/041/717/2/w/448/3471041717_1_1_1.jpg?ts=1689337793349': 'Image 0 of STRAIGHT FIT KNIT TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3471/041/717/2/w/448/3471041717_2_1_1.jpg?ts=1689337793599': 'Image 1 of STRAIGHT FIT KNIT TROUSERS from Zara'}]",women,TROUSERS,straight fit knit trouser,highwaist trouser elastic waistband straightleg design,Bottom,knit,trouser,knit,other,knit trouser knit,This is a straight fit knit trouser made of knit. It is suitable for cold weather.,cold weather
