product_id,gender,product_category,product_name,details,category_type,combined_features,text,weather_label
2091,women,SHOES,soft leather loafer buckle,flat soft leather loafer metallic buckle sole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather loafer,leather loafer soft leather loafer buckle,15-20°C mild weather
2092,women,SHOES,technical running trainer,run trainers adjustable elastic drawstring pull tab backsole height cm,Shoes,trainer,trainer technical running trainer,10-15°C cool weather
2093,women,SHOES,satin sandal rhinestone,satin highheel sandal thin strap rhinestone round toe heel height cm,Shoes,satin sandal,satin sandal satin sandal rhinestone,15-20°C mild weather
2094,women,SHOES,highheel slingback shoe flower,heel slingback shoe flower detail point toe strap backheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,shoe,shoe highheel slingback shoe flower,15-20°C mild weather
2095,women,SHOES,kitten heel slingback shoe,kitten heel slingback shoe buckle strap point toe heel height cm,Shoes,shoe,shoe kitten heel slingback shoe,15-20°C mild weather
2096,women,SHOES,kitten heel slingback shoe,kitten heel slingback shoe buckle strap point toe heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,shoe,shoe kitten heel slingback shoe,15-20°C mild weather
2097,women,SHOES,embellish leather slingback shoe,leather heel slingback shoe embellish detail strap block heelheel height cm,Shoes,leather shoe,leather shoe embellish leather slingback shoe,15-20°C mild weather
2098,women,SHOES,fabric high heel ankle boot,fabric highheel ankle boot block heel zip fasten heel height cm,Shoes,boot,boot fabric high heel ankle boot,10-15°C cool weather
2099,women,SHOES,blockheel fabric shoe,fabric blockheel court shoe square vamp pointed toeheel height cm,Shoes,shoe,shoe blockheel fabric shoe,15-20°C mild weather
2100,women,SHOES,ballerinas bow,ballet flat bow detail round toesole height cm,Shoes,bow,bow ballerinas bow,10-15°C cool weather
2101,women,SHOES,embellish block heel slingback shoe,block heel slingback court shoe embellish metal square toe adjustable buckle fastening strap heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,shoe,shoe embellish block heel slingback shoe,15-20°C mild weather
2102,women,SHOES,platform sneaker,trainer feature platform sole laceup fasten sole height cm starfit flexible technical polyurethane foam insole design offer great comfortview,Shoes,polyurethane trainer,polyurethane trainer platform sneaker,10-15°C cool weather
2103,women,SHOES,fabric platform run trainer,run trainer combination material leather detail platform track sole laceup fasteningsole height cm starfit flexible technical polyurethane foam insole design offer great comfortview,Shoes,leather polyurethane trainer,leather polyurethane trainer fabric platform run trainer,15-20°C mild weather
2104,women,SHOES,matching platform run trainer,run trainer combination material leather detail platform track sole laceup fasten sole height cm,Shoes,leather trainer,leather trainer matching platform run trainer,15-20°C mild weather
2105,women,SHOES,embellish vinyl highheel shoe,highheel slingback vinyl shoe embellish rhinestone detail point toe heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,shoe,shoe embellish vinyl highheel shoe,15-20°C mild weather
2106,women,SHOES,vinyl mule,highheel vinyl mule round toe methacrylate heel heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,mule,mule vinyl mule,10-15°C cool weather
2107,women,SHOES,transparent highheel sandal,highheel sandal transparent strap methacrylate block heel heel height cm,Shoes,sandal,sandal transparent highheel sandal,10-15°C cool weather
2108,women,SHOES,highheel vinyl sandal rhinestone,highheel vinyl sandal rhinestone point toe strap heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal highheel vinyl sandal rhinestone,15-20°C mild weather
2109,women,SHOES,platform sneaker,trainer contrast colour platform sole laceup fasten sole height cm starfit flexible technical polyurethane foam insole design offer great comfortview,Shoes,polyurethane trainer,polyurethane trainer platform sneaker,10-15°C cool weather
2110,women,SHOES,fabric highheel sandal,fabric highheel sandal wide strap thin strap instep square toe heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal fabric highheel sandal,10-15°C cool weather
2111,women,SHOES,knot highheel sandal,highheel sandal thin strap knot upper square toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal knot highheel sandal,10-15°C cool weather
2112,women,SHOES,patentfinish block heel shoe,mary janestyle slingback shoe patent finish block heel round toe buckle ankle strap fasten heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,patent shoe,patent shoe patentfinish block heel shoe,10-15°C cool weather
2113,women,SHOES,tassel loafer,flat loafer metallic buckle detail tassel frontsole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,loafer,loafer tassel loafer,15-20°C mild weather
2114,women,SHOES,mesh heeled slingback shoe,heel slingback court shoe point toe strap elastic adjustable pieceheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,shoe,shoe mesh heeled slingback shoe,10-15°C cool weather
2115,women,SHOES,crisscross buckle slider sandal,leather flat slider sandal crisscross strap buckle detail round toe sole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather sandal,leather sandal crisscross buckle slider sandal,15-20°C mild weather
2116,women,SHOES,kitten heel slingback shoe chain,kitten heel slingback shoe patentfinish chain detail strap elastic pieceheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,shoe,shoe kitten heel slingback shoe chain,15-20°C mild weather
2117,women,SHOES,heel slingback shoe,slingback highheel court shoe point toe buckle ankle strap fasten heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,shoe,shoe heel slingback shoe,10-15°C cool weather
2118,women,SHOES,denim mule,highheel mule denim fabric wide strap stiletto heel round toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,denim denim mule,denim denim mule denim mule,15-20°C mild weather
2119,women,SHOES,leather heel mule,leather mule sandal round toe heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather mule sandal,leather mule sandal leather heel mule,15-20°C mild weather
2120,women,SHOES,leather highheel sandal chain detail,leather highheel sandal chain detail square toe buckle ankle strap fasten heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather sandal,leather sandal leather highheel sandal chain detail,15-20°C mild weather
2121,women,SHOES,leather wedge sandal,leather sandal high geometric wedge heel round toe buckle ankle strap fasten heel height cm,Shoes,leather sandal,leather sandal leather wedge sandal,15-20°C mild weather
2122,women,SHOES,slingback shoe bow,highheel slingback shoe combination colour bow detail point toe strap backheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,bow shoe,bow shoe slingback shoe bow,10-15°C cool weather
2123,women,SHOES,heel slingback shoe bow,highheel slingback shoe bow detail elastic strap point toeheel height cm,Shoes,bow shoe,bow shoe heel slingback shoe bow,10-15°C cool weather
2124,women,SHOES,heel vinyl sandal bow,highheel vinyl sandal embellish bow rhinestone strapheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,bow sandal,bow sandal heel vinyl sandal bow,15-20°C mild weather
2125,women,SHOES,highheel slingback shoe faux pearl,highheel slingback shoe faux pearl point toe strap elastic piece heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,faux shoe,faux shoe highheel slingback shoe faux pearl,15-20°C mild weather
2126,women,SHOES,faux patent highheel sandal,highheel sandal faux patent finish square vamp toe buckle ankle strap fasten heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,faux patent sandal,faux patent sandal faux patent highheel sandal,15-20°C mild weather
2127,women,SHOES,rhinestone denim cowboy boot,denim cowboy boot rhinestone upper fray seam detail point toe pull tab heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,denim boot denim,denim boot denim rhinestone denim cowboy boot,15-20°C mild weather
2128,women,SHOES,denim cowboy boot,denim cowboy boots fray seam detail point toe pull tab heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,denim boot denim,denim boot denim denim cowboy boot,10-15°C cool weather
2129,women,SHOES,flat sandal shiny strap,flat sandal thin strap rhinestone detail round toe buckle ankle strap fasten sole height cm,Shoes,sandal,sandal flat sandal shiny strap,15-20°C mild weather
2130,women,SHOES,slingback heeled shoe square toe,highheel slingback shoe buckle detail buckle fasten strap square toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,shoe,shoe slingback heeled shoe square toe,15-20°C mild weather
2131,women,SHOES,flat split suede slider sandal stud,split suede flat slider sandal thin strap stud detail buckle fasten ankle strap round toe sole height cm,Shoes,suede sandal,suede sandal flat split suede slider sandal stud,15-20°C mild weather
2132,women,SHOES,flat crisscross leather slider sandal,flat leather slider sandal crisscross strap frontsole height cm,Shoes,leather sandal,leather sandal flat crisscross leather slider sandal,15-20°C mild weather
2133,women,SHOES,flat denim slider sandal,flat denim slider sandal crisscross strap round toesole height cm,Shoes,denim denim sandal,denim denim sandal flat denim slider sandal,15-20°C mild weather
2134,women,SHOES,animal print heel slingback,highheel slingback shoe animal print buckle ankle strap fasten point toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,shoe,shoe animal print heel slingback,15-20°C mild weather
2135,women,SHOES,satin highheel slingback shoe,highheel satin slingback shoe buckle ankle strap fasten point toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,satin shoe,satin shoe satin highheel slingback shoe,15-20°C mild weather
2136,women,SHOES,platform sneaker,trainers platform sole contrast piece laceup fasten sole height cm starfit flexible technical polyurethane foam insole design offer great comfortview,Shoes,polyurethane,polyurethane platform sneaker,10-15°C cool weather
2137,women,SHOES,platform trainer,platform sole trainer pull tab laceup fasten sole height cm starfit flexible technical polyurethane foam insole design offer great comfortview,Shoes,polyurethane trainer,polyurethane trainer platform trainer,10-15°C cool weather
2138,women,SHOES,highheel cage sandal,midheel cage sandal thin strap buckle ankle strap fastening point toe heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal highheel cage sandal,10-15°C cool weather
2139,women,SHOES,point toe highheel sandal,highheel sandal wide strap point toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal point toe highheel sandal,10-15°C cool weather
2140,women,SHOES,platform sneaker,laceup trainer combination piece upper pull tab platform solessole height cm starfit flexible technical polyurethane foam insole design offer great comfortview,Shoes,polyurethane trainer,polyurethane trainer platform sneaker,10-15°C cool weather
2141,women,SHOES,combine running trainer,run trainer combination material leather detail chunky sole laceup fasteningsole height cm starfit flexible technical polyurethane foam insole design offer great comfortview,Shoes,leather polyurethane trainer,leather polyurethane trainer combine running trainer,15-20°C mild weather
2142,women,SHOES,contrast lace espadrille,flat slingback fabric espadrille round toe fabric strap tie anklesole height cm,Shoes,espadrille,espadrille contrast lace espadrille,15-20°C mild weather
2143,women,SHOES,flat leather slider sandal,flat leather slider sandal thin strap buckle ankle strap fasten sole height cm,Shoes,leather sandal,leather sandal flat leather slider sandal,15-20°C mild weather
2144,women,SHOES,strappy highheel leather sandal,highheel leather sandal thin strap square toe buckle ankle strap fasteningheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather sandal,leather sandal strappy highheel leather sandal,15-20°C mild weather
2145,women,SHOES,flat rubberise sandal,rubberise flat slider sandal toe divid round toe sole height cm,Shoes,rubberise sandal,rubberise sandal flat rubberise sandal,15-20°C mild weather
2146,women,SHOES,satin sandal crisscross strap,heel sandal satin effect crisscross strap square toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,satin sandal,satin sandal satin sandal crisscross strap,15-20°C mild weather
2147,women,SHOES,denim highheel sandal rhinestone,denim highheel sandal thin strap rhinestone detail square toe heel height cm,Shoes,denim denim sandal,denim denim sandal denim highheel sandal rhinestone,15-20°C mild weather
2148,women,SHOES,highheel sandal floral detail,fabric highheel sandal embellish floral thin strap ankle round toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal highheel sandal floral detail,15-20°C mild weather
2149,women,SHOES,vinyl embellish sandal,vinyl highheel sandal wide strap embellish detailheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal vinyl embellish sandal,15-20°C mild weather
2150,women,SHOES,heel vinyl mule decorative detail,vinyl highheel mule embellish rhinestone detail point toe heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,mule,mule heel vinyl mule decorative detail,15-20°C mild weather
2151,women,SHOES,metallic block heel sandal,metalliceffect sandal thin strap flare high block heel platform square toe buckle ankle strap fasten heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal metallic block heel sandal,15-20°C mild weather
2152,women,SHOES,stud leather highheel sandal,leather highheel sandal thin studded strap point toe buckle ankle strap fasten heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather sandal,leather sandal stud leather highheel sandal,15-20°C mild weather
2153,women,SHOES,stud leather highheel sandal,leather highheel sandal thin studded strap point toe buckle ankle strap fasteningheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather sandal,leather sandal stud leather highheel sandal,15-20°C mild weather
2154,women,SHOES,metallic heeled platform sandal,highheel platform sandal wide strap round toe buckle ankle strap fasten heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal metallic heeled platform sandal,10-15°C cool weather
2155,women,SHOES,heel mule feather,heel mule feather detail round toe heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,mule,mule heel mule feather,10-15°C cool weather
2156,women,SHOES,metallic block heel ankle boot,highheel ankle boot metallic detail inside heel fit leg elastic panel side round toeheel height cm,Shoes,boot,boot metallic block heel ankle boot,10-15°C cool weather
2157,women,SHOES,fabric mule trainer,fabric mule trainer rubberise toecap laceup fasteningsole height cm starfit flexible technical polyurethane foam insole design offer great comfortview,Shoes,polyurethane rubberise mule trainer,polyurethane rubberise mule trainer fabric mule trainer,15-20°C mild weather
2158,women,SHOES,faux patent wedge sandal,faux patent sandal high wedge heel strap square toe buckle ankle strap fasteningheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,faux patent sandal,faux patent sandal faux patent wedge sandal,15-20°C mild weather
2159,women,SHOES,block heel sandal rhinestone,fabric sandal rhinestones square block heel buckle ankle strap fasten heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal block heel sandal rhinestone,15-20°C mild weather
2160,women,SHOES,heel vinyl sandal rhinestone,vinyl highheel sandal rhinestone strap square toe heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal heel vinyl sandal rhinestone,15-20°C mild weather
2161,women,SHOES,leather strappy sandal buckle,leather heel sandal strap buckle toe divid buckle ankle strap fasten square toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather sandal,leather sandal leather strappy sandal buckle,15-20°C mild weather
2162,women,SHOES,highheel slingback shoe bow,highheel slingback shoe embellish bow point toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,bow shoe,bow shoe highheel slingback shoe bow,15-20°C mild weather
2163,women,SHOES,flat pad slider sandal,quilt flat slider sandal toe divid track sole sole height cm,Shoes,sandal,sandal flat pad slider sandal,15-20°C mild weather
2164,women,SHOES,fabric heel slingback shoe,fabric highheel slingback shoe point toe strap elastic pieceheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,shoe,shoe fabric heel slingback shoe,15-20°C mild weather
2165,women,SHOES,leather heel shoe instep strap,leather heel shoe buckle detail strap instep buckle ankle strap fasteningheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather shoe,leather shoe leather heel shoe instep strap,15-20°C mild weather
2166,women,SHOES,heel vinyl sandal bow,vinyl highheel sandal embellish bow square toe strap heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,bow sandal,bow sandal heel vinyl sandal bow,15-20°C mild weather
2167,women,SHOES,embellish vinyl highheel shoe,highheel slingback shoe vinyl upper embellish rhinestone detail point toe heel height cm,Shoes,shoe,shoe embellish vinyl highheel shoe,15-20°C mild weather
2168,women,SHOES,midcalf denim ankle boot,denim fabric ankle boot point toeheel height cm,Shoes,denim boot denim,denim boot denim midcalf denim ankle boot,15-20°C mild weather
2169,women,SHOES,vinyl wedge sandal,sandal wide vinyl strap geometric wedge heel round toe heel height cm,Shoes,sandal,sandal vinyl wedge sandal,15-20°C mild weather
2170,women,SHOES,highheel strappy sandal,highheel sandal crisscross strap upper buckle ankle strap fasteningheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal highheel strappy sandal,10-15°C cool weather
2171,women,SHOES,mini leather wedge sandal,leather sandal crisscross strap buckle detail studssole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather sandal mini,leather sandal mini mini leather wedge sandal,15-20°C mild weather
2172,women,SHOES,vinyl slingback shoe flower,vinyl highheel court shoe satin flower detail strap point toe heel height cm,Shoes,satin shoe,satin shoe vinyl slingback shoe flower,15-20°C mild weather
2173,women,SHOES,chunkysole run trainer,run trainer chunky sole raise detail pull tab laceup fasten sole height cm,Shoes,trainer,trainer chunkysole run trainer,10-15°C cool weather
2174,women,SHOES,vinyl heel sandal,vinyl highheel sandal square toe strap heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal vinyl heel sandal,15-20°C mild weather
2175,women,SHOES,split suede blockheel sandal,block heel split suede sandal wide strap square toe heel height cm,Shoes,suede sandal,suede sandal split suede blockheel sandal,15-20°C mild weather
2176,women,SHOES,embellish espadrille,fabric espadrille embellish metal detail round toe pull tabsole height cm,Shoes,espadrille,espadrille embellish espadrille,15-20°C mild weather
2177,women,SHOES,vinyl mule rhinestone,vinyl highheel mule thin crisscross rhinestone strap instep heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,mule,mule vinyl mule rhinestone,10-15°C cool weather
2178,women,SHOES,heel cowboy ankle boot piece,leather heel cowboystyle ankle boot point toe zip fasten heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather boot,leather boot heel cowboy ankle boot piece,10-15°C cool weather
2179,women,SHOES,stud sandal,toe thong sandal toe divid metallic stud buckle strap fasteningsole height cm,Shoes,sandal,sandal stud sandal,15-20°C mild weather
2180,women,SHOES,wedge sandal tubular strap,sandal tubular strap wedgeshape heel buckle ankle strap fasteningheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal wedge sandal tubular strap,15-20°C mild weather
2181,women,SHOES,vinyl slider sandal stud,vinyl flat slider sandal stud round toesole height cm,Shoes,sandal,sandal vinyl slider sandal stud,10-15°C cool weather
2182,women,SHOES,embellish flat leather sandal,flat leather sandal embellish strap stud buckle ankle strap fasteningsole height cm,Shoes,leather sandal,leather sandal embellish flat leather sandal,15-20°C mild weather
2183,women,SHOES,linen flat slider sandal,flat slider sandal linen fray bow frontsole height cm,Shoes,linen bow sandal,linen bow sandal linen flat slider sandal,15-20°C mild weather
2184,women,SHOES,sandal buckled strap,heel sandal strap buckles buckle ankle strap fasten round toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal sandal buckled strap,10-15°C cool weather
2185,women,SHOES,wedge highheel shoe,highheel wedge shoe leather buckle ankle strap fasten point toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,leather shoe,leather shoe wedge highheel shoe,10-15°C cool weather
2186,women,SHOES,faux patent wedge sandal strap,wedge sandal faux patent finish thin strap buckle ankle strap fasten heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,faux patent sandal,faux patent sandal faux patent wedge sandal strap,15-20°C mild weather
2187,women,SHOES,flat slider sandal rhinestone,flat satiny slider sandal crossed thin strap toe divid rhinestone detail buckle ankle strap fasten sole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,satiny sandal,satiny sandal flat slider sandal rhinestone,15-20°C mild weather
2188,women,SHOES,vinyl slider sandal stud,vinyl flat slider sandal stud square toe sole height cm,Shoes,sandal,sandal vinyl slider sandal stud,10-15°C cool weather
2189,women,SHOES,flat studded slider sandal,flat slider sandal metal stud square toe sole height cm,Shoes,sandal,sandal flat studded slider sandal,15-20°C mild weather
2190,women,SHOES,flat slider sandal rhinestone detail,flat slider sandal rhinestone wide strap thin strap side square toe sole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal flat slider sandal rhinestone detail,15-20°C mild weather
2191,women,SHOES,flat sandal rhinestone,flat slider sandal knot rhinestone detail round toe sole height cm,Shoes,sandal,sandal flat sandal rhinestone,15-20°C mild weather
2192,women,SHOES,flat sandal rhinestone,flat sandal rhinestone strap knot detail airfit flexible technical latex foam insole design offer great comfortsole height cm view,Shoes,sandal,sandal flat sandal rhinestone,15-20°C mild weather
2193,women,SHOES,kitten heel slingback shoe,heel slingback shoe contrastcoloure wide strap point toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,shoe,shoe kitten heel slingback shoe,15-20°C mild weather
2194,women,SHOES,metallic midheel mule rhinestone,metalliceffect mule rhinestone upper square toe heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,mule,mule metallic midheel mule rhinestone,15-20°C mild weather
2195,women,SHOES,metallic heel sandal,highheel sandal metalliceffect thin strap square toe buckle ankle strap fasten heel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,sandal,sandal metallic heel sandal,15-20°C mild weather
2196,women,SHOES,metallic heel mule,mule metallic finish stiletto heel round toeheel height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,mule,mule metallic heel mule,15-20°C mild weather
2197,women,SHOES,highheel mule ankle strap,metalliceffect highheel shoe ankle strap strap point toe buckle ankle strap fasteningheel height cm,Shoes,mule shoe,mule shoe highheel mule ankle strap,15-20°C mild weather
2198,women,SHOES,denim flat slider sandal rhinestone,flat slider sandal denim fabric wide strap rhinestone round toe sole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,denim denim sandal,denim denim sandal denim flat slider sandal rhinestone,15-20°C mild weather
2199,women,SHOES,denim jute flat slider sandal,flat slider sandal jute insole wide denim strap embellish metal detail round toe sole height cm,Shoes,denim jute denim sandal,denim jute denim sandal denim jute flat slider sandal,15-20°C mild weather
2200,women,SHOES,flat sandal bow,flat slider sandal embellish bow square toe sole height cm,Shoes,bow sandal,bow sandal flat sandal bow,15-20°C mild weather
2201,women,SHOES,crochet flat slider sandal,flat slider sandal crochet strap square toe sole height cm,Shoes,sandal,sandal crochet flat slider sandal,15-20°C mild weather
2202,women,SHOES,ballet flat buckle,ballet flat buckle strap instep round toesole height cm airfit flexible technical latex foam insole design offer great comfortview,Shoes,, ballet flat buckle,10-15°C cool weather
