gender,product_category,product_name,details,category_type,combined_features,text,weather_label
women,JACKETS,faux leather jacket,collar jacket feature long sleeve tab shoulder feature pocket metal zip belt material metal buckle zip fasten,Top,faux leather belt jacket long,faux leather belt jacket long faux leather jacket,15-20°C mild weather
women,TOPS_BODYSUITS,satin strapless,straight neckline expose shoulder feature matching line asymmetric hem zip fastening,Top,satin,satin satin strapless,10-15°C cool weather
women,TOPS_BODYSUITS,stretch,fit squarecut neckline strap fasten metal zip,Top,, stretch,10-15°C cool weather
women,TOPS_BODYSUITS,foil halter,vneck halter metallic fabric lining open invisible zip fastening,Top,, foil halter,10-15°C cool weather
women,TOPS_BODYSUITS,asymmetric halterneck,pleated satin fabric halter neck feature open asymmetric hem button fasten neck,Top,satin halterneck,satin halterneck asymmetric halterneck,15-20°C mild weather
women,TOPS_BODYSUITS,linen blend crop,short linen blend straight neckline expose shoulder pleat detail,Top,linen short crop short,linen short crop short linen blend crop,15-20°C mild weather
women,TOPS_BODYSUITS,rib knit,sleeveless cotton blend feature round neckline,Top,cotton knit knit sleeveless,cotton knit knit sleeveless rib knit,10-15°C cool weather
women,TOPS_BODYSUITS,metallic mesh knit,round neck long sleeve matching rib trim,Top,knit knit long,knit knit long metallic mesh knit,10-15°C cool weather
women,TOPS_BODYSUITS,pleated belt,sleeveless feature high neck pleat detail tie belt fabric conceal buttoned opening,Top,belt sleeveless,belt sleeveless pleated belt,10-15°C cool weather
women,TOPS_BODYSUITS,open knit cape,cape texture open knit fabric asymmetric neck sleeve,Top,knit cape knit,knit cape knit open knit cape,15-20°C mild weather
women,TOPS_BODYSUITS,halter neck bodysuit,halter neck bodysuit snapbutton fasten,Top,bodysuit,bodysuit halter neck bodysuit,15-20°C mild weather
women,TOPS_BODYSUITS,pleated openback,high neck long sleeve open detail invisible zip fastening button,Top,long,long pleated openback,10-15°C cool weather
women,TOPS_BODYSUITS,sleeveless cableknit,sleeveless round neck,Top,sleeveless,sleeveless sleeveless cableknit,10-15°C cool weather
women,TOPS_BODYSUITS,mesh seamless rhinestone,stretchy mesh fabric round neck long sleeve rhinestone appliqué detail,Top,long,long mesh seamless rhinestone,10-15°C cool weather
women,TOPS_BODYSUITS,bead crochet,crochet multicoloure bead round neck fasten,Top,, bead crochet,10-15°C cool weather
women,TOPS_BODYSUITS,short crochet,crochet crop vneckline wide strap cutwork fabric detail,Top,short crop short,short crop short short crochet,10-15°C cool weather
women,TOPS_BODYSUITS,rhinestone,crop feature straight neckline wide strap metal chain fasten,Top,crop,crop rhinestone,10-15°C cool weather
women,TOPS_BODYSUITS,drape foil,metallic thread asymmetric neckline drape fabric detail,Top,, drape foil,10-15°C cool weather
women,TOPS_BODYSUITS,print kimono shirt,vneck kimono shirt sleeve fall elbow fasten cover button matching fabric,Top,kimono shirt,kimono shirt print kimono shirt,15-20°C mild weather
women,TOPS_BODYSUITS,trf denim crop,sleeveless crop round neck seamless hem fasten opening metal button,Top,denim denim crop sleeveless,denim denim crop sleeveless trf denim crop,10-15°C cool weather
women,TOPS_BODYSUITS,jacquard knit,feature slot collar drawstring short sleeve,Top,knit short knit short,knit short knit short jacquard knit,10-15°C cool weather
women,TOPS_BODYSUITS,asymmetric,asymmetric neckline expose shoulder gather detail asymmetric hem vent,Top,, asymmetric,10-15°C cool weather
women,TOPS_BODYSUITS,strapless buckle,offtheshoulder straight neckline tab detail metallic buckle asymmetric hem invisible zip fastening,Top,, strapless buckle,10-15°C cool weather
women,TOPS_BODYSUITS,contrast waistcoat,sleeveless vneck satin lapel metal button fasten,Top,satin lapel waistcoat sleeveless,satin lapel waistcoat sleeveless contrast waistcoat,10-15°C cool weather
women,TOPS_BODYSUITS,strapless corsetryinspire rhinestone,offtheshoulder straightcut neckline rhinestone detail match line invisible zip fastening,Top,, strapless corsetryinspire rhinestone,15-20°C mild weather
women,TOPS_BODYSUITS,bodysuit squarecut neckline,squareneck bodysuit wide strap snapbutton fasten,Top,bodysuit,bodysuit bodysuit squarecut neckline,15-20°C mild weather
women,TOPS_BODYSUITS,texture jacquard,round neck normal length short sleevesround neck tshirt short sleeve texture fabric detail,Top,short tshirt short,short tshirt short texture jacquard,10-15°C cool weather
women,TOPS_BODYSUITS,drape tulle,semisheer vneck feature long sleeve mitten drape fabric buttonup frontthis garment line,Top,semisheer long,semisheer long drape tulle,15-20°C mild weather
women,TOPS_BODYSUITS,seamless rhinestone bodysuit,bodysuit stretchy mesh fabric round neck long sleeve rhinestone appliqué detail,Top,bodysuit long,bodysuit long seamless rhinestone bodysuit,15-20°C mild weather
women,TOPS_BODYSUITS,tailor linen blend waistcoat,sleeveless waistcoat linen blend lapel collar vneck tie hem fabric,Top,linen lapel waistcoat sleeveless,linen lapel waistcoat sleeveless tailor linen blend waistcoat,15-20°C mild weather
women,TOPS_BODYSUITS,trf asymmetric denim,halter vneckline feature flap detail chest asymmetric hem metal zip fasten,Top,denim denim,denim denim trf asymmetric denim,15-20°C mild weather
women,TOPS_BODYSUITS,print tie detail,sleeveless cotton feature round neck adjustable hem tie button fasten,Top,cotton sleeveless,cotton sleeveless print tie detail,10-15°C cool weather
women,TOPS_BODYSUITS,blouse bow collar,highneck blouse bow long puff sleeve buttoned opening,Top,blouse bow long,blouse bow long blouse bow collar,15-20°C mild weather
women,TOPS_BODYSUITS,linen blend asymmetric,cotton linen blend asymmetric neckline long cape sleeve texture fabric detail asymmetric hem,Top,cotton linen cape long,cotton linen cape long linen blend asymmetric,10-15°C cool weather
women,TOPS_BODYSUITS,pleated ruffle sleeve,crop feature round neck long sleeve pleated ruffle trim buttoned opening,Top,crop long,crop long pleated ruffle sleeve,10-15°C cool weather
women,TOPS_BODYSUITS,strapless poplin beading,offtheshoulder straightcut neckline feature pleat contrast bead metal zip fasten,Top,poplin,poplin strapless poplin beading,15-20°C mild weather
women,TOPS_BODYSUITS,braided strap,vneck feature braid strap tie detail elastic detail opening,Top,, braided strap,10-15°C cool weather
women,TOPS_BODYSUITS,asymmetric gather,polyamide elastane blend asymmetric neckline expose shoulder gather fabric detail,Top,polyamide,polyamide asymmetric gather,10-15°C cool weather
women,TOPS_BODYSUITS,texture ruffle,sleeveless vneck texture fabric detail ruffle,Top,sleeveless,sleeveless texture ruffle,10-15°C cool weather
women,TOPS_BODYSUITS,satiny strapless neckerchief,offtheshoulder straight neckline neckerchief fabric pleat detail invisible zip fastening,Top,satiny,satiny satiny strapless neckerchief,15-20°C mild weather
women,TOPS_BODYSUITS,print linen blend,halter linen blend vneckline open asymmetric hem slit metal zip fastening,Top,linen,linen print linen blend,15-20°C mild weather
women,TOPS_BODYSUITS,poplin rhinestone flower,thin strap tie feature neckline shape flower rhinestone appliqué,Top,poplin,poplin poplin rhinestone flower,15-20°C mild weather
women,TOPS_BODYSUITS,embellish cutout bodysuit,bodysuit plunge vneckline wide strap metal appliqué detail chest cutout side drape fabric snapbutton fasten,Top,bodysuit,bodysuit embellish cutout bodysuit,15-20°C mild weather
women,TOPS_BODYSUITS,trf denim crop rhinestone,crop straight neckline thin strap rhinestone detail fasten metal zip,Top,denim denim crop,denim denim crop trf denim crop rhinestone,15-20°C mild weather
women,TOPS_BODYSUITS,combine stripe,sleeveless round neck cotton feature contrast fabric dart buttoned opening,Top,cotton sleeveless,cotton sleeveless combine stripe,10-15°C cool weather
women,TOPS_BODYSUITS,crossover ruffle,semisheer surplice neckline long sleeve ruffle trim detail garment line,Top,semisheer long,semisheer long crossover ruffle,10-15°C cool weather
women,TOPS_BODYSUITS,crochet bralette,crochet bralette combination contrast colour tie fasten fabric,Top,bralette,bralette crochet bralette,15-20°C mild weather
women,TOPS_BODYSUITS,metallic thread rustic sweater,round neck sweater long sleeve metallic thread detailthis garment line,Top,sweater sweater long,sweater sweater long metallic thread rustic sweater,10-15°C cool weather
women,TOPS_BODYSUITS,openback buckle,vneck halter neck feature open double buckle hide hookandeye fasten,Top,, openback buckle,10-15°C cool weather
women,TOPS_BODYSUITS,asymmetric pleated,asymmetric neckline wide strap pleated fabric ruffle trim,Top,, asymmetric pleated,10-15°C cool weather
women,TOPS_BODYSUITS,creasedeffect satin halter,halter buttoned opening,Top,satin,satin creasedeffect satin halter,15-20°C mild weather
women,TOPS_BODYSUITS,drape tulle print,semisheer vneck feature long sleeve mitten drape fabric buttonup,Top,semisheer long,semisheer long drape tulle print,15-20°C mild weather
women,TOPS_BODYSUITS,asymmetric drape,asymmetric neckline wide strap drape fabric asymmetric hem,Top,, asymmetric drape,10-15°C cool weather
women,TOPS_BODYSUITS,asymmetric tie,sleeveless asymmetric neckline pleat tie belt fabric,Top,belt sleeveless,belt sleeveless asymmetric tie,10-15°C cool weather
women,TOPS_BODYSUITS,oversize knit tshirt,shirt round neckline short sleeve,Top,knit shirt short tshirt knit short,knit shirt short tshirt knit short oversize knit tshirt,15-20°C mild weather
women,TOPS_BODYSUITS,print tulle,short sleeve high neck drape fabric line invisible zip fastening,Top,short short,short short print tulle,15-20°C mild weather
women,TOPS_BODYSUITS,metallic thread knit,sleeveless round neck topthis garment line,Top,knit knit sleeveless,knit knit sleeveless metallic thread knit,10-15°C cool weather
women,TOPS_BODYSUITS,metallic thread knit,sleeveless round neckline metallic thread detail,Top,knit knit sleeveless,knit knit sleeveless metallic thread knit,10-15°C cool weather
women,TOPS_BODYSUITS,texture ruffle trim,sleeveless texture fabric feature round neck ruffle trim matching fabric,Top,sleeveless,sleeveless texture ruffle trim,10-15°C cool weather
women,TOPS_BODYSUITS,embroider,oversize fit vneck long short sleevestop viscose blend vneckline short sleeve contrast embroidery detail vent hem,Top,viscose short long short,viscose short long short embroider,10-15°C cool weather
women,TOPS_BODYSUITS,metallic rhinestone,sleeveless metallic crop rhinestone appliqué round neck open lobster clasp fasteningthis garment line,Top,crop sleeveless,crop sleeveless metallic rhinestone,10-15°C cool weather
women,TOPS_BODYSUITS,pleated knot,strappy halter knot invisible zip fastening,Top,, pleated knot,10-15°C cool weather
women,TOPS_BODYSUITS,crochet crop,vneck crop tie detail neck matching crochet fabric ruffle hem cutwork embroidery tie fasten,Top,crop,crop crochet crop,10-15°C cool weather
women,TOPS_BODYSUITS,print linen blend crop,linen blend feature knot vneck short sleeve invisible zip fastening,Top,linen short crop short,linen short crop short print linen blend crop,15-20°C mild weather
women,TOPS_BODYSUITS,ruffle knit,sleeveless vneck ruffle,Top,knit knit sleeveless,knit knit sleeveless ruffle knit,10-15°C cool weather
women,TOPS_BODYSUITS,seamless crop rhinestone,offtheshoulder crop straight neckline feature long sleeve hem metal fringing rhinestone appliqué,Top,crop long,crop long seamless crop rhinestone,10-15°C cool weather
women,TOPS_BODYSUITS,satin openback,round neck long sleeve pleated cuff open gather detail side tie bow hem,Top,satin bow long,satin bow long satin openback,15-20°C mild weather
women,TOPS_BODYSUITS,embroider crop,vneck crop feature short puff sleeve elasticate trim knot detail pleat asymmetric hem match trim,Top,short crop short,short crop short embroider crop,15-20°C mild weather
women,TOPS_BODYSUITS,floral print satin,feature crossover high neck multiway tie detail long sleeve,Top,satin long,satin long floral print satin,15-20°C mild weather
women,TOPS_BODYSUITS,z denim crop waistcoat,vneck waistcoat metal button fastening,Top,denim denim waistcoat crop,denim denim waistcoat crop z denim crop waistcoat,15-20°C mild weather
women,TOPS_BODYSUITS,trf denim,straightcut neckline adjustable strap patch pocket elastic smocked fabric detail zip fasten,Top,denim denim,denim denim trf denim,15-20°C mild weather
women,TOPS_BODYSUITS,denim trf shirt,fade denim shirt round neck short sleeve feature seamless trim metal zip fasten,Top,denim denim shirt short short,denim denim shirt short short denim trf shirt,15-20°C mild weather
women,TOPS_BODYSUITS,asymmetric gather,sleeveless round neck stretch fabric feature asymmetric hem buttoned opening,Top,sleeveless,sleeveless asymmetric gather,10-15°C cool weather
women,TOPS_BODYSUITS,rib knit crop,round neck wide strap,Top,knit knit crop,knit knit crop rib knit crop,15-20°C mild weather
women,TOPS_BODYSUITS,rhinestone poplin,sweetheart neckline thin strap feature cutout detail chest rhinestone appliqué,Top,poplin,poplin rhinestone poplin,10-15°C cool weather
women,TOPS_BODYSUITS,knit crossover halter,crossover halterneck wide strap,Top,knit halterneck knit,knit halterneck knit knit crossover halter,15-20°C mild weather
women,TOPS_BODYSUITS,crop,round neck short sleeve,Top,short crop short,short crop short crop,10-15°C cool weather
women,TOPS_BODYSUITS,rib bodysuit ruffle,bodysuit straightcut neckline expose shoulder combine ruffle chest snapbutton fasten,Top,bodysuit,bodysuit rib bodysuit ruffle,15-20°C mild weather
women,TOPS_BODYSUITS,rib tshirt foil,fit tshirt metalliceffect cotton round neck short sleeve,Top,cotton short tshirt short,cotton short tshirt short rib tshirt foil,15-20°C mild weather
women,TOPS_BODYSUITS,metallic camisole,flow neckline thin strap cross,Top,camisole,camisole metallic camisole,15-20°C mild weather
women,TOPS_BODYSUITS,stripe poplin strapless,straightneck expose shoulder button detail invisible zip fastening,Top,poplin,poplin stripe poplin strapless,10-15°C cool weather
women,TOPS_BODYSUITS,drape satin,sleeveless high neck drape fabric invisible zip fastening,Top,satin sleeveless,satin sleeveless drape satin,10-15°C cool weather
women,TOPS_BODYSUITS,linen blend print,crop linen blend vneck sleeve fall elbow open elastic detail gather hem invisible zip fastening,Top,linen crop,linen crop linen blend print,15-20°C mild weather
women,TOPS_BODYSUITS,shoulder pad,sleeveless feature surplice neckline pad shoulder gather detail invisible zip fastening,Top,sleeveless,sleeveless shoulder pad,10-15°C cool weather
women,TOPS_BODYSUITS,shiny strapless,straight neckline expose shoulder shinyeffect fabric smocking invisible zip fastening,Top,, shiny strapless,10-15°C cool weather
women,TOPS_BODYSUITS,bead print,vneck double strap adjustable chest tie tassel trim beading sequin contrast embroidery detail matching lining,Top,, bead print,15-20°C mild weather
women,TOPS_BODYSUITS,satin knot,crop feature vneckline knot long sleeve invisible zip fastening,Top,satin crop long,satin crop long satin knot,15-20°C mild weather
women,TOPS_BODYSUITS,strapless zip,offtheshoulder straight neckline patch pocket metallic zip hem invisible zip fastening,Top,, strapless zip,10-15°C cool weather
women,TOPS_BODYSUITS,asymmetric shape bodysuit,sleeveless bodysuit asymmetric neckline drape fabric detail snapbutton fasten,Top,bodysuit sleeveless,bodysuit sleeveless asymmetric shape bodysuit,15-20°C mild weather
women,TOPS_BODYSUITS,embroider,vneck strap match floral embroidery detail buttonup,Top,, embroider,15-20°C mild weather
women,TOPS_BODYSUITS,mesh seamless bodysuit rhinestone,bodysuit stretchy mesh fabric feature vneck long sleeve rhinestone appliqué gather detail,Top,bodysuit long,bodysuit long mesh seamless bodysuit rhinestone,15-20°C mild weather
women,TOPS_BODYSUITS,trf denim bandeau,denim straightcut neckline expose shoulder feature stretch fabric metal button fasten,Top,denim denim,denim denim trf denim bandeau,15-20°C mild weather
women,TOPS_BODYSUITS,gather organza,halter button gather fabric detail matching line open,Top,organza,organza gather organza,10-15°C cool weather
women,TOPS_BODYSUITS,seamless foil asymmetric,polyamide asymmetric neckline wide strap metallic fabric,Top,polyamide,polyamide seamless foil asymmetric,10-15°C cool weather
women,TOPS_BODYSUITS,texture,halter surplice neckline open tie detail hem,Top,, texture,15-20°C mild weather
women,TOPS_BODYSUITS,strapless pleat tulle,strapless inner elastic pleated fabric detail seamless hem,Top,, strapless pleat tulle,10-15°C cool weather
women,TOPS_BODYSUITS,print crop,plunge vneckline strap feature multicoloure embroidery bead tie fasten,Top,crop,crop print crop,15-20°C mild weather
women,TOPS_BODYSUITS,drape,sleeveless cowl neckline feature gathering shoulder,Top,sleeveless,sleeveless drape,10-15°C cool weather
women,TOPS_BODYSUITS,knit asymmetric hem,open knit round neck long sleeve asymmetric hem,Top,knit knit long,knit knit long knit asymmetric hem,15-20°C mild weather
women,TOPS_BODYSUITS,texture,texture fabric feature round neck short sleeve,Top,short short,short short texture,10-15°C cool weather
women,TOPS_BODYSUITS,stretch knit square neckline,slim fit square neckline normal length sleevelesssleeveless square neckline,Top,knit knit,knit knit stretch knit square neckline,15-20°C mild weather
women,TOPS_BODYSUITS,satin topstitching,round neck satin long sleeve contrast pronounce topstitching detail,Top,satin long,satin long satin topstitching,15-20°C mild weather
women,TOPS_BODYSUITS,pleated tie detail,vneck feature long sleeve wide cuff tie detail,Top,long,long pleated tie detail,15-20°C mild weather
women,TOPS_BODYSUITS,voluminous,sleeveless feature matching rib round neck voluminous hem invisible zip fastening,Top,sleeveless,sleeveless voluminous,20-25°C warm weather
women,TOPS_BODYSUITS,halter pocket,halterneck feature patch pocket false welt pocket chest zip fastening hide placket,Top,halterneck,halterneck halter pocket,10-15°C cool weather
women,TOPS_BODYSUITS,crop cutwork embroidery,crop straight neck wide strap feature match cutwork embroidery detail,Top,crop,crop crop cutwork embroidery,15-20°C mild weather
women,TOPS_BODYSUITS,tiedye print crop,surplice neckline long sleeve gather hem pleat invisible zip fastening,Top,crop long,crop long tiedye print crop,15-20°C mild weather
women,TOPS_BODYSUITS,ruffle linen,sleeveless linen feature round neckline ruffle button fastening,Top,linen sleeveless,linen sleeveless ruffle linen,10-15°C cool weather
women,TOPS_BODYSUITS,jacquard frille,vneck thin strap ruffle trim detail split hem,Top,, jacquard frille,10-15°C cool weather
women,T-SHIRTS_SWEATSHIRTS,heavy cotton tshirt,round neck normal length drop sleevestshirt cotton round neck drop sleeve,Top,cotton tshirt,cotton tshirt heavy cotton tshirt,10-15°C cool weather
women,T-SHIRTS_SWEATSHIRTS,drape neck,loose fit drape neck normal length drop sleeve drape round neck,Top,, drape neck,10-15°C cool weather
women,T-SHIRTS_SWEATSHIRTS,crepe short sleeve tshirt,regular fit round neck normal length short sleevestshirt cotton crepe fabric round neckline short sleeve,Top,cotton short tshirt short,cotton short tshirt short crepe short sleeve tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,embroider collar tshirt,round neck normal length short sleevestshirt round neck short sleeve layer collar detail embroidery,Top,short tshirt short,short tshirt short embroider collar tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,tshirt contrast print,loose fit round neck normal length short sleevestshirt round neck short sleeve contrast drawstre appliqué print detail,Top,short tshirt short,short tshirt short tshirt contrast print,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,tshirt knot,loose fit round neck normal length drop sleevesround neck tshirt drop sleeve feature asymmetric hem knot fabric,Top,tshirt,tshirt tshirt knot,10-15°C cool weather
women,T-SHIRTS_SWEATSHIRTS,heavy cotton cocoon tshirt,round neck normal length short sleeve round neck tshirt cotton short sleeve,Top,cotton short tshirt short,cotton short tshirt short heavy cotton cocoon tshirt,10-15°C cool weather
women,T-SHIRTS_SWEATSHIRTS,basic tshirt asymmetric hem,regular fit round neck normal length short sleevestshirt round neck short sleeve asymmetric hem,Top,short tshirt short,short tshirt short basic tshirt asymmetric hem,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,asymmetric rhinestone tshirt,find,Top,tshirt,tshirt asymmetric rhinestone tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,tshirt shimmer slogan,slim fit round neck normal length short sleevesround neck tshirt short sleeve slogan detail rhinestone appliqué,Top,short tshirt short,short tshirt short tshirt shimmer slogan,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,rib strappy vest,vest round neckline,Top,vest,vest rib strappy vest,10-15°C cool weather
women,T-SHIRTS_SWEATSHIRTS,stripe cotton tshirt,loose fit boat neck normal length long sleevestshirt cotton blend boat neck long sleeve,Top,cotton tshirt long,cotton tshirt long stripe cotton tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,lightweight ribbed tshirt,slim fit round neck normal length short sleevestshirt cotton blend round neck short sleeve,Top,cotton short tshirt lightweight short,cotton short tshirt lightweight short lightweight ribbed tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,plush vest,vest cotton blend vneck drop sleeve matching rib trim,Top,cotton vest,cotton vest plush vest,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,basic tshirt,tshirt cotton round neck short sleeve,Top,cotton short tshirt short,cotton short tshirt short basic tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,fadedeffect tshirt slogan,loose fit round neck normal length short sleevesfade cotton tshirt feature round neck short sleeve contrast slogan,Top,cotton short tshirt short,cotton short tshirt short fadedeffect tshirt slogan,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,rib tshirt foil,regular fit round neck normal length short sleevesround neck tshirt short sleeve,Top,short tshirt short,short tshirt short rib tshirt foil,10-15°C cool weather
women,T-SHIRTS_SWEATSHIRTS,combine stripe,sleeveless round neck cotton feature contrast fabric dart buttoned opening,Top,cotton sleeveless,cotton sleeveless combine stripe,10-15°C cool weather
women,T-SHIRTS_SWEATSHIRTS,contrast hoodie,long sleeve hoodie contrast fabric pouch pocket,Top,hoodie hoodie long,hoodie hoodie long contrast hoodie,10-15°C cool weather
women,T-SHIRTS_SWEATSHIRTS,long sleeve contrast stripe tshirt,tshirt cotton round neck long sleeve contrast fabric detail asymmetric hem,Top,cotton tshirt long,cotton tshirt long long sleeve contrast stripe tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,short sleeve contrast stripe tshirt,tshirt cotton round neck short sleeve contrast fabric detail asymmetric hem,Top,cotton short tshirt short,cotton short tshirt short short sleeve contrast stripe tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,fade cotton tshirt,slim fit round neck normal length short sleeve fade cotton tshirt round neck short sleeve,Top,cotton short tshirt short,cotton short tshirt short fade cotton tshirt,10-15°C cool weather
women,T-SHIRTS_SWEATSHIRTS,crop stretch tshirt,slim fit round neck short short sleevescroppe short sleeve tshirt cotton blend round neck,Top,cotton short tshirt crop short,cotton short tshirt crop short crop stretch tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,rib lightweight cotton tshirt,regular fit round neck normal length short sleevesround neck tshirt cotton short sleeve,Top,cotton short tshirt lightweight short,cotton short tshirt lightweight short rib lightweight cotton tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,tshirt slogan,round neck normal length short sleevescotton tshirt round neck short sleeve contrast slogan detail,Top,short tshirt short,short tshirt short tshirt slogan,10-15°C cool weather
women,T-SHIRTS_SWEATSHIRTS,embroider girl tshirt,round neck normal length short sleevestshirt round neckline short sleeve contrast embroider detail,Top,short tshirt short,short tshirt short embroider girl tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,print tshirt,round neck normal length short sleevesround neck tshirt short sleeve,Top,short tshirt short,short tshirt short print tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,poplin tshirt button,loose fit vneck normal length drop sleevesdrop sleeve tshirt feature vneck fabric appliqué detail poplin contrast stripe button,Top,poplin tshirt,poplin tshirt poplin tshirt button,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,fadedeffect rib sweatshirt,round neck sweatshirt fadedeffect cotton blend long sleeve ruffle cuff,Top,cotton sweatshirt sweatshirt long,cotton sweatshirt sweatshirt long fadedeffect rib sweatshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,rip fadedeffect sweatshirt,fade cotton blend sweatshirt feature round neck long dropshoulder sleeve rip detail,Top,cotton sweatshirt sweatshirt long,cotton sweatshirt sweatshirt long rip fadedeffect sweatshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,fadedeffect tshirt,fade cotton tshirt distressed round neck short sleeve,Top,cotton short tshirt short,cotton short tshirt short fadedeffect tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,fadedeffect rib tshirt,long sleeveless round neck fade effect cotton blend,Top,cotton tshirt long sleeveless,cotton tshirt long sleeveless fadedeffect rib tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,cotton tshirt seam detail,round neck normal length short sleevestshirt cotton round neck short sleeve seamless trim,Top,cotton short tshirt short,cotton short tshirt short cotton tshirt seam detail,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,fadedeffect plush sweatshirt,fade cotton sweatshirt feature round neck long dropshoulder sleeve seamless hem,Top,cotton sweatshirt sweatshirt long,cotton sweatshirt sweatshirt long fadedeffect plush sweatshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,crop,round neck short sleeve,Top,short crop short,short crop short crop,10-15°C cool weather
women,T-SHIRTS_SWEATSHIRTS,basic ribbed tshirt,round neck strappy,Top,tshirt,tshirt basic ribbed tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,fit rhinestone tshirt,slim fit round neck normal length drop sleevestshirt feature round neck drop sleeve rhinestone appliqué,Top,tshirt,tshirt fit rhinestone tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,tshirt padded shoulder rhinestone,loose fit round neck normal length sleevelesssleeveless tshirt feature round neck pad shoulder rhinestone detail,Top,tshirt,tshirt tshirt padded shoulder rhinestone,10-15°C cool weather
women,T-SHIRTS_SWEATSHIRTS,short sleeve liocell wool tshirt,round neck normal length short sleevesround neck tshirt short sleeve viscose liocell wool blend,Top,liocell viscose wool short tshirt short,liocell viscose wool short tshirt short short sleeve liocell wool tshirt,15-20°C mild weather
women,T-SHIRTS_SWEATSHIRTS,slogan print tshirt,round neck normal length short sleevestshirt cotton round neck short sleeve slogan print detail,Top,cotton short tshirt short,cotton short tshirt short slogan print tshirt,15-20°C mild weather
