gender,product_category,product_name,details,category_type,combined_features,text,weather_label
women,JEANS,marine straight fit highwaist pocket jean,slim fit relaxed leg high waistzw woman jeanshighwaist jean belt loop patch pocket contrast visible topstitche detail seamless hem zip fly button fastening,Bottom,belt jean,belt jean marine straight fit highwaist pocket jean,10-15°C cool weather
women,JEANS,marine straightleg highwaist jean,slim fit relaxed leg high waistzw woman jeanshighwaist jean patch pocket seamless hem zip fly button fastening,Bottom,jean,jean marine straightleg highwaist jean,10-15°C cool weather
women,TROUSERS,highwaist culotte trouser,highwaist trouser feature pocket rear welt pocket short wide leg design zip fly interior button metal hook fasten,Bottom,short trouser short,short trouser short highwaist culotte trouser,10-15°C cool weather
women,TROUSERS,cropped trouser,highwaist crop trouser elasticate waistband drawstre dart pocket,Bottom,trouser crop cropped,trouser crop cropped cropped trouser,10-15°C cool weather
women,TROUSERS,carrot fit trouser dart detail,midwaist trouser viscose blend belt loop pocket rear welt pocket dart detail pleated hem contrast button zip fly button fastening,Bottom,viscose belt trouser,viscose belt trouser carrot fit trouser dart detail,10-15°C cool weather
women,SHORTS_SKORTS,trf highrise mom fit denim bermuda short,highrise mom fithighrise bermuda short fivepocket design zip fly metal button fasten turnup hem,Bottom,denim bermuda denim short short,denim bermuda denim short short trf highrise mom fit denim bermuda short,10-15°C cool weather
women,TROUSERS,length trouser,pleated highwaist trouser pocket zip fly inside button metal hook fasten,Bottom,trouser,trouser length trouser,10-15°C cool weather
women,JEANS,highrise stove pipe trf jean,highwaist slim ankle lengthhighwaist jean fivepocket design zip fly metal button fastening,Bottom,jean,jean highrise stove pipe trf jean,10-15°C cool weather
women,JEANS,trf wideleg midrise length jean,midrise wideleg lengthmidrise rigid jean fivepocket design long wide leg zip fly metal button fastening,Bottom,jean long,jean long trf wideleg midrise length jean,10-15°C cool weather
women,TROUSERS,highwaist trouser,highwaist trouser seam detail welt pocket zip fly inside button metal hook fasten,Bottom,trouser,trouser highwaist trouser,10-15°C cool weather
women,TROUSERS,wide waistband legging,highwaist legging wide elastic waistband,Bottom,, wide waistband legging,10-15°C cool weather
women,TROUSERS,pleated satinfinish trouser,trouser pleated satin fabric elastic drawstring waistband wideleg design,Bottom,satin trouser,satin trouser pleated satinfinish trouser,10-15°C cool weather
women,TROUSERS,print foil trouser,highwaist trouser elasticate waistband adjustable drawstring metallic print detail,Bottom,trouser,trouser print foil trouser,10-15°C cool weather
women,TROUSERS,foil trouser,highwaist trouser metallic satin fabric feature elastic waistband inseam pocket,Bottom,satin trouser,satin trouser foil trouser,10-15°C cool weather
women,TROUSERS,body shaping legging,highwaist legging fit elasticate waistband invisible zip fastening,Bottom,, body shaping legging,10-15°C cool weather
women,TROUSERS,highwaist denim legging button,highwaist denim legging elastic waistband snapbutton zip fasten,Bottom,denim denim,denim denim highwaist denim legging button,10-15°C cool weather
women,TROUSERS,highwaist legging button,highwaist legging feature elasticate waistband raise golden button,Bottom,, highwaist legging button,10-15°C cool weather
women,TROUSERS,highwaist trouser,highwaist trouser seam detail welt pocket zip fly inside button metal hook fasten,Bottom,trouser,trouser highwaist trouser,10-15°C cool weather
women,TROUSERS,high waiste carrot trouser,highwaist trouser pocket patch pocket leg pocket belt loop metal buckle zip inside button fastening,Bottom,belt trouser,belt trouser high waiste carrot trouser,10-15°C cool weather
women,TROUSERS,knit striped culotte,highwaist trouser elastic waistband wideleg design,Bottom,knit trouser knit,knit trouser knit knit striped culotte,10-15°C cool weather
women,TROUSERS,barrel trouser cuff hem,highwaist trouser feature pocket false welt pocket hem dart detail zip fly button fastening,Bottom,trouser,trouser barrel trouser cuff hem,10-15°C cool weather
women,TROUSERS,satin cargo trouser,midrise satin trouser viscose belt loop pocket multiple patch pocket flap straight leg zip button fastening,Bottom,satin viscose belt trouser,satin viscose belt trouser satin cargo trouser,10-15°C cool weather
women,TROUSERS,print wrap trouser,highwaist trouser knot straightleg design,Bottom,trouser,trouser print wrap trouser,10-15°C cool weather
women,TROUSERS,long flow trouser,loosefitte highwaist trouser straightleg design invisible zip fastening,Bottom,trouser long,trouser long long flow trouser,10-15°C cool weather
women,TROUSERS,straightleg trouser turnup hem,highwaist trouser feature pocket rear false welt pocket straightleg design turnup hem zip fly interior button metal hook fasten,Bottom,trouser,trouser straightleg trouser turnup hem,10-15°C cool weather
women,TROUSERS,wideleg trouser zips,midrise trouser belt loop inseam zip pocket rear welt pocket match visible topstitche wide leg zipup,Bottom,belt trouser,belt trouser wideleg trouser zips,10-15°C cool weather
women,TROUSERS,flare length trouser,highwaist trouser pocket false welt pocket flare hem zip fly interior button metal hook fasten,Bottom,trouser,trouser flare length trouser,10-15°C cool weather
women,TROUSERS,crop straightfit satin trouser,midrise trouser adjustable elasticate waistband drawstring,Bottom,satin trouser crop,satin trouser crop crop straightfit satin trouser,10-15°C cool weather
women,TROUSERS,metallic print trouser,midwaist flow trouser elasticate waistband adjustable drawstring metallic print detail,Bottom,trouser,trouser metallic print trouser,10-15°C cool weather
women,TROUSERS,highrise straightfit trf cargo trouser,highwaist trouser patch pocket side leg false pocket flap zip fly metal button fastening,Bottom,trouser,trouser highrise straightfit trf cargo trouser,10-15°C cool weather
women,TROUSERS,flare highwaist legging,high waist flare leg length comforthighwaist legging elastic waistband long flare hem,Bottom,long,long flare highwaist legging,10-15°C cool weather
women,TROUSERS,paperbag trouser belt,highwaist trouser dart pocket patch pocket flap adjustable hem button fasten zip fly interior button metal hook fasten belt buckle metal stud,Bottom,belt trouser,belt trouser paperbag trouser belt,10-15°C cool weather
women,TROUSERS,texture jacquard trouser,highwaist trouser inner elasticate waistband texture fabric detail wideleg design,Bottom,trouser,trouser texture jacquard trouser,10-15°C cool weather
women,TROUSERS,trouser lined belt,highwaist crop trouser dart matching line belt pocket false rear welt pocket zip fly interior button metal hook fasten,Bottom,belt trouser crop,belt trouser crop trouser lined belt,10-15°C cool weather
women,TROUSERS,flare trouser,midrise trouser flare hem zip fly interior button metal hook fasten,Bottom,trouser,trouser flare trouser,10-15°C cool weather
women,TROUSERS,sequinne satin trouser,highwaist trouser viscose elastic waistband adjustable drawstring pocket rear patch pocket embroidery detail sequin appliqués straightleg design,Bottom,satin viscose trouser,satin viscose trouser sequinne satin trouser,10-15°C cool weather
women,TROUSERS,highwaist slim fit trouser,highwaist trouser belt loop pocket rear false welt pocket pronounce seam zip fly inside button metal hook fasten,Bottom,belt trouser,belt trouser highwaist slim fit trouser,10-15°C cool weather
women,TROUSERS,length linen blend trouser,highwaist trouser linen blend pocket rear false welt pocket dart detail zip fly inside button metal hook fasten,Bottom,linen trouser,linen trouser length linen blend trouser,10-15°C cool weather
women,TROUSERS,belt cargo trouser,highwaist trouser feature matching belt pocket false rear welt pocket zip fly metal hook fasten,Bottom,belt trouser,belt trouser belt cargo trouser,10-15°C cool weather
women,TROUSERS,satin cargo trouser,highwaist trouser feature elasticate waistband pocket patch pocket flap straightleg design zip fly interior button metal hook fasten,Bottom,satin trouser,satin trouser satin cargo trouser,10-15°C cool weather
women,TROUSERS,highwaist culotte trouser,highwaist trouser feature pocket rear welt pocket short wide leg design zip fly interior button metal hook fasten,Bottom,short trouser short,short trouser short highwaist culotte trouser,10-15°C cool weather
women,TROUSERS,trf cargo topstitche trouser,highwaist trouser feature adjustable elasticate waistband drawstring patch pocket pocket leg false flap pocket adjustable drawstre hem contrast seam detail,Bottom,trouser,trouser trf cargo topstitche trouser,10-15°C cool weather
women,TROUSERS,print palazzo ramie trouser,midrise trouser ramie adjustable elasticate waistband drawstring inseam pocket wideleg design,Bottom,ramie trouser,ramie trouser print palazzo ramie trouser,10-15°C cool weather
women,TROUSERS,contrast boxer trouser,highwaist trouser pocket rear welt pocket fabric interior elasticate waistband straight leg,Bottom,trouser,trouser contrast boxer trouser,10-15°C cool weather
women,TROUSERS,wideleg poplin trouser,midrise trouser cotton elasticate waistband adjustable drawstring inseam pocket wideleg design,Bottom,cotton poplin trouser,cotton poplin trouser wideleg poplin trouser,10-15°C cool weather
women,TROUSERS,flow wrap trouser,midwaist flow trouser elasticate waistband feature wrapstyle layer detail fabric adjustable tie wideleg design,Bottom,trouser,trouser flow wrap trouser,10-15°C cool weather
women,TROUSERS,belt cargo trouser,highwaist trouser dart belt fabric pocket patch pocket flap hem adjustable tab zip fly metal hook fasten,Bottom,belt trouser,belt trouser belt cargo trouser,10-15°C cool weather
women,TROUSERS,contrast patchwork trouser,highwaist trouser feature adjustable waistband drawstring contrast fabric wideleg design,Bottom,trouser,trouser contrast patchwork trouser,10-15°C cool weather
women,TROUSERS,texture jacquard trouser,highwaist trouser adjustable waistband matching drawstring texture jacquard fabric detail wideleg design,Bottom,trouser,trouser texture jacquard trouser,10-15°C cool weather
women,TROUSERS,linen trouser,midrise trouser linen belt loop pocket fray hem zip fly button fastening,Bottom,linen belt trouser,linen belt trouser linen trouser,10-15°C cool weather
women,TROUSERS,carrot jogging trouser,highwaist trouser feature adjustable elastic waistband drawstring pocket,Bottom,trouser,trouser carrot jogging trouser,10-15°C cool weather
women,TROUSERS,paperbag trouser belt,highwaist trouser dart matching belt pocket wideleg design zip interior button metal hook fasten,Bottom,belt trouser,belt trouser paperbag trouser belt,10-15°C cool weather
women,TROUSERS,embroider trouser,midrise trouser viscose blend adjustable waistband drawstring contrast embroidery detail,Bottom,viscose trouser,viscose trouser embroider trouser,10-15°C cool weather
women,TROUSERS,cargo trouser elasticate waistband,highwaist trouser feature elasticate waistband drawstring pocket patch pocket flap cuff elasticate hem,Bottom,trouser,trouser cargo trouser elasticate waistband,10-15°C cool weather
women,TROUSERS,straight fit trouser button,highwaist trouser elastic waistband pocket decorative golden button false welt pocket straightleg design,Bottom,trouser,trouser straight fit trouser button,10-15°C cool weather
women,TROUSERS,print ramie trouser,midwaist trouser ramie elasticate waistband adjustable drawstring match fabric pocket wideleg design,Bottom,ramie trouser,ramie trouser print ramie trouser,10-15°C cool weather
women,TROUSERS,highwaist carrot fit trouser dart,highwaist trouser dart inseam pocket zip interior button metal hook fasten,Bottom,trouser,trouser highwaist carrot fit trouser dart,10-15°C cool weather
women,TROUSERS,creasedeffect satin trouser,highwaist trouser elasticate waistband pocket straight leg,Bottom,satin trouser,satin trouser creasedeffect satin trouser,10-15°C cool weather
women,TROUSERS,wideleg pyjamastyle trouser,highwaist trouser elasticate drawstring waistband pocket wideleg design,Bottom,trouser,trouser wideleg pyjamastyle trouser,10-15°C cool weather
women,TROUSERS,carrot fit trouser tab hem,highwaist trouser elasticate waistband pocket visible seam detail hem buttoned tab,Bottom,trouser,trouser carrot fit trouser tab hem,10-15°C cool weather
women,TROUSERS,belt chino trouser,highwaist trouser dart pocket button false welt pocket zip fly button fasten embossed belt detail,Bottom,belt chino trouser,belt chino trouser belt chino trouser,10-15°C cool weather
women,TROUSERS,nylon trouser zips,midrise trouser feature adjustable elasticate waistband drawstring pocket patch pocket flap leg elasticate hem zip,Bottom,nylon trouser,nylon trouser nylon trouser zips,10-15°C cool weather
women,TROUSERS,length trouser,pleated highwaist trouser pocket zip fly inside button metal hook fasten,Bottom,trouser,trouser length trouser,10-15°C cool weather
women,TROUSERS,basic flow trouser,flow highwaist trouser elastic waistband,Bottom,trouser,trouser basic flow trouser,10-15°C cool weather
women,TROUSERS,nylon blend parachute trouser,midrise trouser pocket false rear welt pocket pleat detail knee adjustable stopper hem,Bottom,nylon trouser,nylon trouser nylon blend parachute trouser,10-15°C cool weather
women,TROUSERS,linen blend carrot fit trouser,highwaist trouser linen blend feature elasticate waistband adjustable drawstring rear patch pocket,Bottom,linen trouser,linen trouser linen blend carrot fit trouser,10-15°C cool weather
women,TROUSERS,finely pleated palazzo trouser,highwaist trouser elasticate waistband line wideleg design,Bottom,trouser,trouser finely pleated palazzo trouser,10-15°C cool weather
women,TROUSERS,wideleg fray trouser,highwaist trouser pocket wideleg design fray trim detail zip fly button fastening,Bottom,trouser,trouser wideleg fray trouser,10-15°C cool weather
women,TROUSERS,satin cargo trouser,highwaist trouser viscose pocket patch pocket flap side buckle tab pleat adjustable hem elastic drawstring stopper zip metal hook fasten,Bottom,satin viscose trouser,satin viscose trouser satin cargo trouser,10-15°C cool weather
women,TROUSERS,linen blend straight trouser,highwaist trouser linen blend fabric adjustable elasticate waistband drawstre pocket false welt pocket wideleg design,Bottom,linen trouser,linen trouser linen blend straight trouser,10-15°C cool weather
women,TROUSERS,straight fit trouser,highwaist trouser feature pocket false welt pocket zip inside button metal hook fasten,Bottom,trouser,trouser straight fit trouser,10-15°C cool weather
women,TROUSERS,satin trouser topstitching,highwaist trouser pocket pronounce contrast topstitching detail straight leg fray hem invisible zip fastening,Bottom,satin trouser,satin trouser satin trouser topstitching,10-15°C cool weather
women,TROUSERS,animal print paperbag trouser,highwaist trouser dart matching belt pocket straightleg design zip fly interior button metal hook fasten,Bottom,belt trouser,belt trouser animal print paperbag trouser,10-15°C cool weather
women,TROUSERS,parachute trouser,midwaist trouser elasticate waist pocket adjustable hem stopper,Bottom,trouser,trouser parachute trouser,10-15°C cool weather
women,TROUSERS,satin parachute trouser,midrise trouser feature elasticate waistband drawstring stopper pocket patch pocket pleated detail leg adjustable hem elasticate drawstring stopper,Bottom,satin trouser,satin trouser satin parachute trouser,10-15°C cool weather
women,TROUSERS,wash effect trouser,fade lowrise trouser elasticate waistband pocket wideleg design,Bottom,trouser,trouser wash effect trouser,rain
women,TROUSERS,flow wideleg trouser,highwaist trouser elastic waistband pocket wideleg design,Bottom,trouser,trouser flow wideleg trouser,10-15°C cool weather
women,TROUSERS,fadedeffect plush trouser,fade cotton trouser feature elasticate drawstring waistband seamless hem,Bottom,cotton trouser,cotton trouser fadedeffect plush trouser,10-15°C cool weather
women,TROUSERS,linen blend palazzo trouser,midrise wideleg trouser cotton linen blend feature elasticate waistband adjustable drawstring pocket texture fabric detail,Bottom,cotton linen trouser,cotton linen trouser linen blend palazzo trouser,10-15°C cool weather
women,TROUSERS,cargo trouser strap,midrise trouser cotton belt loop belt fabric adjustable metal buckle pocket patch pocket flap zips leg patch pocket adjustable contrast strap metal buckle pleat knee adjustable hem elastic drawstring stopper zip button fastening,Bottom,cotton belt trouser,cotton belt trouser cargo trouser strap,10-15°C cool weather
women,TROUSERS,carrot fit trouser dart detail,midwaist trouser viscose blend belt loop pocket rear welt pocket dart detail pleated hem contrast button zip fly button fastening,Bottom,viscose belt trouser,viscose belt trouser carrot fit trouser dart detail,10-15°C cool weather
women,TROUSERS,minimalist palazzo trouser,semisheer trouser viscose blend elasticate waistband pocket hide seam line wide leg,Bottom,semisheer viscose trouser,semisheer viscose trouser minimalist palazzo trouser,10-15°C cool weather
women,TROUSERS,linen palazzo trouser,highwaist trouser linen elasticate waist adjustable drawstring pocket wideleg design,Bottom,linen trouser,linen trouser linen palazzo trouser,10-15°C cool weather
women,TROUSERS,fray linen trouser,trouser linen midrise belt loop pocket straightleg design fray hem fabric zip button fastening,Bottom,linen belt trouser,linen belt trouser fray linen trouser,10-15°C cool weather
women,TROUSERS,linen wideleg trouser,highwaist trouser linen dart pocket patch pocket wideleg design zip fly button fastening,Bottom,linen trouser,linen trouser linen wideleg trouser,10-15°C cool weather
women,TROUSERS,loosefitte dart trouser,highwaist trouser dart elastic pocket wideleg design fasten zip fly inside button metal hook,Bottom,trouser,trouser loosefitte dart trouser,10-15°C cool weather
women,TROUSERS,length flare trouser,midwaist trouser feature pocket rear false welt pocket flare hem zip fly interior button metal hook fasten,Bottom,trouser,trouser length flare trouser,10-15°C cool weather
women,TROUSERS,highwaist carrot fit trouser belt,highwaist trouser dart inseam pocket match belt metal buckle zip interior button metal hook fasten,Bottom,belt trouser,belt trouser highwaist carrot fit trouser belt,10-15°C cool weather
women,TROUSERS,bootcut trouser,midrise trouser feature pocket false welt pocket fitted leg flare hem zip fly interior button metal hook fasten,Bottom,trouser,trouser bootcut trouser,10-15°C cool weather
women,TROUSERS,stripe rustic trouser,highwaist trouser feature elastic waistband adjustable drawstring pocket wideleg design,Bottom,trouser,trouser stripe rustic trouser,10-15°C cool weather
women,TROUSERS,straightleg trouser turnup hem,highwaist trouser pocket false welt pocket straightleg design turnup hem zip fly inside button metal hook fasten,Bottom,trouser,trouser straightleg trouser turnup hem,10-15°C cool weather
women,TROUSERS,cargo trf trouser,midrise trouser pocket patch pocket leg belt loop zip fly metal button fastening,Bottom,belt trouser,belt trouser cargo trf trouser,10-15°C cool weather
women,TROUSERS,animal print flare trouser,flow highwaist trouser flare hem zip fly inside button metal hook fasten,Bottom,trouser,trouser animal print flare trouser,10-15°C cool weather
women,TROUSERS,wideleg trouser satin waistband,highwaist trouser pleated detail satin fabric wideleg design invisible zip fastening,Bottom,satin trouser,satin trouser wideleg trouser satin waistband,10-15°C cool weather
women,TROUSERS,flow cropped trouser,midwaist trouser elasticate drawstre waistband pocket patch pocket,Bottom,trouser cropped,trouser cropped flow cropped trouser,10-15°C cool weather
women,TROUSERS,cropped trouser,highwaist crop trouser elasticate waistband drawstre dart pocket,Bottom,trouser crop cropped,trouser crop cropped cropped trouser,10-15°C cool weather
women,TROUSERS,nylon trouser pocket,midrise trouser feature elasticate waistband pocket patch pocket leg pleated detail knee adjustable hem stopper,Bottom,nylon trouser,nylon trouser nylon trouser pocket,10-15°C cool weather
women,TROUSERS,linen blend pareostyle trouser,highwaist trouser linen blend crossover pareostyle snap button false rear welt pocket wideleg design invisible zip fastening,Bottom,linen trouser,linen trouser linen blend pareostyle trouser,10-15°C cool weather
women,TROUSERS,length pinstripe trouser,highwaist trouser feature pocket false rear welt pocket pleated detail zip fly interior button metal hook fasten,Bottom,trouser,trouser length pinstripe trouser,10-15°C cool weather
