product_images,gender,product_category,product_name,details,category_type,material,product_subtype,weather_feature,coverage_feature,combined_features,text_complex,weather_label
"[{'https://static.zara.net/photos///2023/I/0/1/p/4548/236/303/12/w/448/4548236303_1_1_1.jpg?ts=1690546393650': 'Image 0 of PACK OF LONG NECKLACES from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4548/236/303/2/w/448/4548236303_6_1_1.jpg?ts=1689601552502': 'Image 1 of PACK OF LONG NECKLACES from Zara'}]",women,ACCESSORIES,pack long necklace,twopack necklacesnecklace coloured beadsfine chain pendant shape fish coloured rhinestone,Accessories,other,necklace pendant,other,long,necklace pendant long,This is a pack long necklace with long coverage. It is suitable for mild or cool weather.,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/224/808/2/w/448/1856224808_1_1_1.jpg?ts=1689929449635': 'Image 0 of METAL NECKLACE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/224/808/2/w/448/1856224808_2_1_1.jpg?ts=1689929454452': 'Image 1 of METAL NECKLACE from Zara'}]",women,ACCESSORIES,metal necklace,rigid metal necklace,Accessories,other,necklace,other,other,necklace,This is a metal necklace,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4548/235/303/2/w/448/4548235303_1_1_1.jpg?ts=1689929452348': 'Image 0 of FAUX PEARL BEAD DOUBLE NECKLACE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4548/235/303/2/w/448/4548235303_2_1_1.jpg?ts=1689929451289': 'Image 1 of FAUX PEARL BEAD DOUBLE NECKLACE from Zara'}]",women,ACCESSORIES,faux pearl bead double necklace,short double necklace faux pearl bead lobster clasp fasten,Accessories,faux,necklace short,other,short,faux necklace short short,This is a faux pearl bead double necklace made of faux with short coverage. It is suitable for warm or hot weather.,warm weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/282/303/2/w/448/1856282303_1_1_1.jpg?ts=1689929451970': 'Image 0 of PEARL BEAD HOOP EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/282/303/2/w/448/1856282303_2_1_1.jpg?ts=1689929449656': 'Image 1 of PEARL BEAD HOOP EARRINGS from Zara'}]",women,ACCESSORIES,pearl bead hoop earring,hoop earring faux pearl bead appliqués pushback closure,Accessories,faux,earring,other,other,faux earring,This is a pearl bead hoop earring made of faux,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4548/223/330/17/w/448/4548223330_1_1_1.jpg?ts=1686738753806': 'Image 0 of PACK OF RESIN RINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4548/223/330/2/w/448/4548223330_6_1_1.jpg?ts=1684483470366': 'Image 1 of PACK OF RESIN RINGS from Zara'}]",women,ACCESSORIES,pack resin ring,pack resin ring,Accessories,other,ring,other,other,ring,This is a pack resin ring,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/4548/216/330/17/w/448/4548216330_1_1_1.jpg?ts=1686738560423': 'Image 0 of PACK OF RESIN BRACELETS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4548/216/330/2/w/448/4548216330_2_1_1.jpg?ts=1684489385585': 'Image 1 of PACK OF RESIN BRACELETS from Zara'}]",women,ACCESSORIES,pack resin bracelet,pack resin bracelet,Accessories,other,bracelet,other,other,bracelet,This is a pack resin bracelet,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/3739/214/705/2/w/448/3739214705_1_1_1.jpg?ts=1688550128360': 'Image 0 of BUCKET HAT WITH WIDE BRIM from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3739/214/705/2/w/448/3739214705_6_1_1.jpg?ts=1688644850947': 'Image 1 of BUCKET HAT WITH WIDE BRIM from Zara'}]",women,ACCESSORIES,bucket hat wide brim,widebrimme bucket hat shapewear border,Accessories,other,hat,other,other,hat,This is a bucket hat wide brim,cool weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/8435/203/712/2/w/448/8435203712_1_1_1.jpg?ts=1688550128589': 'Image 0 of PACK OF RESIN RINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8435/203/712/2/w/448/8435203712_2_1_1.jpg?ts=1688550128472': 'Image 1 of PACK OF RESIN RINGS from Zara'}]",women,ACCESSORIES,pack resin ring,pack resin ringssize s mmsize m mm,Accessories,other,ring,other,other,ring,This is a pack resin ring,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/278/808/17/w/448/1856278808_1_1_1.jpg?ts=1691583067763': 'Image 0 of PACK OF FAUX PEARL AND CHAIN EARRINGS AND EAR CUFFS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/278/808/2/w/448/1856278808_6_1_1.jpg?ts=1691062996996': 'Image 1 of PACK OF FAUX PEARL AND CHAIN EARRINGS AND EAR CUFFS from Zara'}]",women,ACCESSORIES,pack faux pearl chain earring ear cuff,pack earringsear cuff faux pearl thin chain earring faux pearl appliqué thin chain pushback closure,Accessories,faux,earring,other,other,faux earring,This is a pack faux pearl chain earring ear cuff made of faux,mild weather
"[{'https://static.zara.net/photos///2023/I/0/1/p/1856/318/808/17/w/448/1856318808_1_1_1.jpg?ts=1691583141043': 'Image 0 of HEART EARRINGS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1856/318/808/2/w/448/1856318808_6_1_1.jpg?ts=1691136137340': 'Image 1 of HEART EARRINGS from Zara'}]",women,ACCESSORIES,heart earring,heartshape metal earring pushback closure,Accessories,other,earring,other,other,earring,This is a heart earring,mild weather
