product_id,product_images,gender,product_category,product_name,details,category_type,combined_features
75,[],women,SKIRTS,linen blend buttoned midi skirt,highwaist skirt linen cotton blend false button slit hem invisible zip fastening,Bottom,cotton linen skirt midi
76,[],women,SKIRTS,z denim midi skirt zip,highwaist skirt pocket fade effect slit hem zip fasten,Bottom,denim denim skirt midi
77,[],women,SHIRTS,poplin shirt,collar vneck shirt long sleeve buttonup,Top,poplin shirt long
78,[],women,SHIRTS,poplin shirt,shirt johnny collar long sleeve buttonup,Top,poplin shirt long
79,[],women,SHIRTS,cotton blend oxford shirt,shirt cotton blend johnny collar long sleeve asymmetric hem buttonup,Top,cotton oxford shirt long
80,[],women,SHIRTS,oxford shirt,shirt cotton blend johnny collar long sleeve buttonup,Top,cotton oxford shirt long
81,[],women,SHIRTS,stripe oversize shirt,loosefitte shirt feature johnny collar long sleeve cuff chest patch pocket pleated detail buttonup,Top,shirt long
82,[],women,JEANS,marine straight fit highwaist pocket jean,slim fit relaxed leg high waistzw woman jeanshighwaist jean belt loop patch pocket contrast visible topstitche detail seamless hem zip fly button fastening,Bottom,belt jean
83,[],women,JEANS,marine straightleg highwaist jean,slim fit relaxed leg high waistzw woman jeanshighwaist jean patch pocket seamless hem zip fly button fastening,Bottom,jean
84,[],women,SWEATERS_CARDIGANS,wool knit polo sweater,fit sweater extra soft wool feature polo collar long sleeve button fastening,Top,knit wool polo sweater knit sweater long
85,[],women,SWEATERS_CARDIGANS,cashmere knit sweater,sweater cashmere wool blend round neck long sleeve matching rib trim,Top,cashmere knit wool sweater knit sweater long
86,[],women,SWEATERS_CARDIGANS,crop knit sweater,short sweater round neckline long sleeve,Top,knit short sweater knit sweater crop long short
87,"[{'https://static.zara.net/photos///2023/I/0/1/p/8851/123/800/22/w/448/8851123800_1_1_1.jpg?ts=1693219160353': 'Image 0 of BASIC HIGH NECK KNIT SWEATER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8851/123/800/22/w/448/8851123800_2_1_1.jpg?ts=1693219160248': 'Image 1 of BASIC HIGH NECK KNIT SWEATER from Zara'}]",women,SWEATERS_CARDIGANS,basic high neck knit sweater,sweater feature high neck long sleeve decorative metal button rib trim,Top,knit sweater knit sweater long
88,"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/329/800/2/w/448/9929329800_1_1_1.jpg?ts=1692876611654': 'Image 0 of HIGH-WAIST CULOTTE TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/329/800/2/w/448/9929329800_2_1_1.jpg?ts=1692876613115': 'Image 1 of HIGH-WAIST CULOTTE TROUSERS from Zara'}]",women,TROUSERS,highwaist culotte trouser,highwaist trouser feature pocket rear welt pocket short wide leg design zip fly interior button metal hook fasten,Bottom,short trouser short
89,"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/329/704/2/w/448/9929329704_1_1_1.jpg?ts=1693208680604': 'Image 0 of SHORT TAILORED WAISTCOAT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/329/704/2/w/448/9929329704_2_1_1.jpg?ts=1693208681036': 'Image 1 of SHORT TAILORED WAISTCOAT from Zara'}]",women,WAISTCOATS_GILETS,short tailor waistcoat,vneck waistcoat feature false welt pocket button fasten,Top,short waistcoat short
90,"[{'https://static.zara.net/photos///2023/I/0/1/p/2753/332/803/2/w/448/2753332803_1_1_1.jpg?ts=1692203340480': 'Image 0 of DOUBLE-BREASTED OVERSIZED BLAZER from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2753/132/803/2/w/448/2753132803_2_1_1.jpg?ts=1692700012053': 'Image 1 of DOUBLE-BREASTED OVERSIZED BLAZER from Zara'}]",women,BLAZERS,doublebreaste oversized blazer,loosefitte blazer feature lapel collar long sleeve pronounce shoulder flap pocket doublebreaste button fastening,Top,blazer lapel long
91,"[{'https://static.zara.net/photos///2023/I/0/1/p/9929/328/800/18/w/448/9929328800_1_1_1.jpg?ts=1692798819039': 'Image 0 of CROPPED TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9929/328/800/18/w/448/9929328800_2_1_1.jpg?ts=1692798818180': 'Image 1 of CROPPED TROUSERS from Zara'}]",women,TROUSERS,cropped trouser,highwaist crop trouser elasticate waistband drawstre dart pocket,Bottom,trouser crop cropped
92,"[{'https://static.zara.net/photos///2023/I/0/1/p/1478/060/800/2/w/448/1478060800_1_1_1.jpg?ts=1692791553719': 'Image 0 of CARROT FIT TROUSERS WITH DARTS DETAIL from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1478/060/800/26/w/448/1478060800_2_1_1.jpg?ts=1692877539382': 'Image 1 of CARROT FIT TROUSERS WITH DARTS DETAIL from Zara'}]",women,TROUSERS,carrot fit trouser dart detail,midwaist trouser viscose blend belt loop pocket rear welt pocket dart detail pleated hem contrast button zip fly button fastening,Bottom,viscose belt trouser
93,"[{'https://static.zara.net/photos///2023/I/0/1/p/4432/013/250/17/w/448/4432013250_1_1_1.jpg?ts=1692193685526': 'Image 0 of OVERSIZED SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4432/013/250/17/w/448/4432013250_2_1_1.jpg?ts=1692193684440': 'Image 1 of OVERSIZED SHIRT from Zara'}]",women,SHIRTS,oversized shirt,loosefitte collared shirt feature long sleeve cuff chest patch pocket pleated detail buttonup fasten,Top,shirt long
94,"[{'https://static.zara.net/photos///2023/I/0/1/p/8197/053/400/12/w/448/8197053400_1_1_1.jpg?ts=1689775918489': 'Image 0 of TRF HIGH-RISE MOM FIT DENIM BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/V/0/1/p/8197/053/400/2/w/448/8197053400_6_1_1.jpg?ts=1680258835206': 'Image 1 of TRF HIGH-RISE MOM FIT DENIM BERMUDA SHORTS from Zara'}]",women,SHORTS_SKORTS,trf highrise mom fit denim bermuda short,highrise mom fithighrise bermuda short fivepocket design zip fly metal button fasten turnup hem,Bottom,denim bermuda denim short short
95,"[{'https://static.zara.net/photos///2023/I/0/1/p/7385/440/804/20/w/448/7385440804_1_1_1.jpg?ts=1691591185914': 'Image 0 of FULL LENGTH TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7385/440/804/20/w/448/7385440804_2_1_1.jpg?ts=1691591186057': 'Image 1 of FULL LENGTH TROUSERS from Zara'}]",women,TROUSERS,length trouser,pleated highwaist trouser pocket zip fly inside button metal hook fasten,Bottom,trouser
96,"[{'https://static.zara.net/photos///2023/I/0/1/p/4341/826/822/18/w/448/4341826822_1_1_1.jpg?ts=1690988660770': 'Image 0 of FAUX LEATHER JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/4341/826/822/18/w/448/4341826822_2_1_1.jpg?ts=1690988659913': 'Image 1 of FAUX LEATHER JACKET from Zara'}]",women,JACKETS,faux leather jacket,jacket lapel collar long sleeve feature pocket metal zip shoulder tab belt fabric buckle metal zipup fastening,Top,faux leather belt jacket lapel long
97,"[{'https://static.zara.net/photos///2023/I/0/1/p/3427/736/800/17/w/448/3427736800_1_1_1.jpg?ts=1687505128322': 'Image 0 of FAUX LEATHER JACKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3427/736/800/17/w/448/3427736800_2_1_1.jpg?ts=1687505130206': 'Image 1 of FAUX LEATHER JACKET from Zara'}]",women,JACKETS,faux leather jacket,collar jacket feature long sleeve tab shoulder feature pocket metal zip belt material metal buckle zip fasten,Top,faux leather belt jacket long
98,"[{'https://static.zara.net/photos///2023/I/0/1/p/8197/248/443/2/w/448/8197248443_1_1_1.jpg?ts=1692362501984': 'Image 0 of HIGH-RISE STOVE PIPE TRF JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8197/248/443/2/w/448/8197248443_2_1_1.jpg?ts=1692362501914': 'Image 1 of HIGH-RISE STOVE PIPE TRF JEANS from Zara'}]",women,JEANS,highrise stove pipe trf jean,highwaist slim ankle lengthhighwaist jean fivepocket design zip fly metal button fastening,Bottom,jean
99,"[{'https://static.zara.net/photos///2023/I/0/1/p/6045/228/802/18/w/448/6045228802_1_1_1.jpg?ts=1690965391526': 'Image 0 of TRF WIDE-LEG MID-RISE FULL LENGTH JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6045/129/802/18/w/448/6045129802_2_1_1.jpg?ts=1693321712505': 'Image 1 of TRF WIDE-LEG MID-RISE FULL LENGTH JEANS from Zara'}]",women,JEANS,trf wideleg midrise length jean,midrise wideleg lengthmidrise rigid jean fivepocket design long wide leg zip fly metal button fastening,Bottom,jean long
100,"[{'https://static.zara.net/photos///2023/I/0/1/p/7102/562/804/18/w/448/7102562804_1_1_1.jpg?ts=1692689248482': 'Image 0 of HIGH-WAIST TROUSERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7102/562/804/18/w/448/7102562804_2_1_1.jpg?ts=1692689248227': 'Image 1 of HIGH-WAIST TROUSERS from Zara'}]",women,TROUSERS,highwaist trouser,highwaist trouser seam detail welt pocket zip fly inside button metal hook fasten,Bottom,trouser
211,"[{'https://static.zara.net/photos///2023/I/0/1/p/9878/239/330/2/w/448/9878239330_1_1_1.jpg?ts=1693224764546': 'Image 0 of PRINTED PLEATED JUMPSUIT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9878/239/330/2/w/448/9878239330_2_1_1.jpg?ts=1693224765803': 'Image 1 of PRINTED PLEATED JUMPSUIT from Zara'}]",women,DRESSES_JUMPSUITS,print pleated jumpsuit,playsuit surplice neckline long sleeve elasticate waist lining fasten buttoned opening,Other,jumpsuit playsuit long
212,"[{'https://static.zara.net/photos///2023/I/0/1/p/1165/178/401/2/w/448/1165178401_1_1_1.jpg?ts=1693305744717': 'Image 0 of PLAYSUIT WITH CUT-OUT DETAIL from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1165/178/401/2/w/448/1165178401_2_1_1.jpg?ts=1693305744244': 'Image 1 of PLAYSUIT WITH CUT-OUT DETAIL from Zara'}]",women,DRESSES_JUMPSUITS,playsuit cutout detail,sleeveless playsuit round neck pleated detail opening waist invisible zip fastening opening metal button split hem gather detail,Other,playsuit sleeveless
213,"[{'https://static.zara.net/photos///2023/I/0/1/p/3641/815/700/2/w/448/3641815700_1_1_1.jpg?ts=1692865109452': 'Image 0 of POLYAMIDE MIDI DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3641/815/700/2/w/448/3641815700_2_1_1.jpg?ts=1692865109443': 'Image 1 of POLYAMIDE MIDI DRESS from Zara'}]",women,DRESSES_JUMPSUITS,polyamide midi dress,midi dress polyamide elastane blend round neck drop sleeve,Other,polyamide dress midi
214,"[{'https://static.zara.net/photos///2023/I/0/1/p/3641/808/250/2/w/448/3641808250_1_1_1.jpg?ts=1688048277567': 'Image 0 of FITTED ASYMMETRIC DRESS WITH CUT-OUT DETAIL from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3641/808/250/2/w/448/3641808250_2_1_1.jpg?ts=1688048276960': 'Image 1 of FITTED ASYMMETRIC DRESS WITH CUT-OUT DETAIL from Zara'}]",women,DRESSES_JUMPSUITS,fit asymmetric dress cutout detail,dress polyamide elastane blend asymmetric neckline thin elastic strap gather detail cutout detail waist,Other,polyamide dress
215,"[{'https://static.zara.net/photos///2023/I/0/1/p/3067/290/220/2/w/448/3067290220_1_1_1.jpg?ts=1692874441282': 'Image 0 of METALLIC STRAPLESS DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/3067/290/220/2/w/448/3067290220_2_1_1.jpg?ts=1692874442284': 'Image 1 of METALLIC STRAPLESS DRESS from Zara'}]",women,DRESSES_JUMPSUITS,metallic strapless dress,offtheshoulder midi dress straightcut neckline metallic fabric gather detail slit hem invisible zip fastening,Other,dress midi
216,"[{'https://static.zara.net/photos///2023/I/0/1/p/8396/741/800/2/w/448/8396741800_1_1_1.jpg?ts=1692874441145': 'Image 0 of FOIL SLIP DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8396/741/800/2/w/448/8396741800_2_1_1.jpg?ts=1692874444399': 'Image 1 of FOIL SLIP DRESS from Zara'}]",women,DRESSES_JUMPSUITS,foil slip dress,midi dress metalliceffect fabric drape neckline thin strap open invisible zip fastening,Other,dress midi
217,"[{'https://static.zara.net/photos///2023/I/0/1/p/8326/350/808/2/w/448/8326350808_1_1_1.jpg?ts=1692874443895': 'Image 0 of FOIL SLIP DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8326/350/808/2/w/448/8326350808_2_1_1.jpg?ts=1692874443188': 'Image 1 of FOIL SLIP DRESS from Zara'}]",women,DRESSES_JUMPSUITS,foil slip dress,long dress metalliceffect fabric feature vneckline thin strap open,Other,dress long
218,"[{'https://static.zara.net/photos///2023/I/0/1/p/8497/359/802/2/w/448/8497359802_1_1_1.jpg?ts=1692874442937': 'Image 0 of TRANSPARENT TULLE DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8497/359/802/2/w/448/8497359802_2_1_1.jpg?ts=1692874443525': 'Image 1 of TRANSPARENT TULLE DRESS from Zara'}]",women,DRESSES_JUMPSUITS,transparent tulle dress,transparent midi dress high neck long sleeve pronounce seam button opening neck,Other,dress long midi
219,"[{'https://static.zara.net/photos///2023/I/0/1/p/8338/239/800/22/w/448/8338239800_1_1_1.jpg?ts=1693212396279': 'Image 0 of COMBINED NYLON JUMPSUIT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8338/239/800/22/w/448/8338239800_2_1_1.jpg?ts=1693212395635': 'Image 1 of COMBINED NYLON JUMPSUIT from Zara'}]",women,DRESSES_JUMPSUITS,combine nylon jumpsuit,vneck jumpsuit thin adjustable strap pocket false rear welt pocket match fabric invisible zip metal hook fasten,Other,nylon jumpsuit
220,"[{'https://static.zara.net/photos///2023/I/0/1/p/1131/807/622/2/w/448/1131807622_1_1_1.jpg?ts=1692273229105': 'Image 0 of SATIN DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/1131/807/622/2/w/448/1131807622_2_1_1.jpg?ts=1692273228811': 'Image 1 of SATIN DRESS from Zara'}]",women,DRESSES_JUMPSUITS,satin dress,satin dress vneckline thin strap feature open match fabric strap,Other,satin dress
221,"[{'https://static.zara.net/photos///2023/I/0/1/p/8741/245/800/2/w/448/8741245800_1_1_1.jpg?ts=1692892311388': 'Image 0 of FAUX LEATHER STRAPLESS DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8741/245/800/2/w/448/8741245800_2_1_1.jpg?ts=1692892311244': 'Image 1 of FAUX LEATHER STRAPLESS DRESS from Zara'}]",women,DRESSES_JUMPSUITS,faux leather strapless dress,short dress straightcut neckline expose shoulder drape fabric metal link hem invisible zip fastening,Other,faux leather dress short short
222,"[{'https://static.zara.net/photos///2023/I/0/1/p/0021/103/705/12/w/448/0021103705_1_1_1.jpg?ts=1693237097875': 'Image 0 of OPEN CABLE-KNIT DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0021/103/705/12/w/448/0021103705_2_1_1.jpg?ts=1693237097046': 'Image 1 of OPEN CABLE-KNIT DRESS from Zara'}]",women,DRESSES_JUMPSUITS,open cableknit dress,long feel texture dress round neck long sleeve perforate fabric detail aline hem slit garment line,Other,dress long
223,"[{'https://static.zara.net/photos///2023/I/0/1/p/9878/232/684/12/w/448/9878232684_1_1_1.jpg?ts=1692888368378': 'Image 0 of JUMPSUIT WITH CROSSOVER BACK from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9878/232/684/12/w/448/9878232684_2_1_1.jpg?ts=1692888368244': 'Image 1 of JUMPSUIT WITH CROSSOVER BACK from Zara'}]",women,DRESSES_JUMPSUITS,jumpsuit crossover,vneck jumpsuit thin strap cross lining wideleg design invisible zip fastening,Other,jumpsuit
224,"[{'https://static.zara.net/photos///2023/I/0/1/p/0387/166/610/2/w/448/0387166610_1_1_1.jpg?ts=1692879491500': 'Image 0 of CUT-OUT JUMPSUIT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0387/166/610/2/w/448/0387166610_2_1_1.jpg?ts=1692879491484': 'Image 1 of CUT-OUT JUMPSUIT from Zara'}]",women,DRESSES_JUMPSUITS,cutout jumpsuit,flow jumpsuit vneckline short sleeve pleat detail opening waist invisible zip fastening,Other,jumpsuit short short
225,"[{'https://static.zara.net/photos///2023/I/0/1/p/8490/899/690/2/w/448/8490899690_1_1_1.jpg?ts=1692879490213': 'Image 0 of SATIN CAMISOLE DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8490/899/690/2/w/448/8490899690_2_1_1.jpg?ts=1692879492138': 'Image 1 of SATIN CAMISOLE DRESS from Zara'}]",women,DRESSES_JUMPSUITS,satin camisole dress,midi dress drape neckline thin strap gather detail invisible zip fastening,Other,satin camisole dress midi
226,"[{'https://static.zara.net/photos///2023/I/0/1/p/7844/934/501/2/w/448/7844934501_1_1_1.jpg?ts=1691482578125': 'Image 0 of SATIN DRESS WITH FEATHERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/7844/934/501/2/w/448/7844934501_2_1_1.jpg?ts=1691482578177': 'Image 1 of SATIN DRESS WITH FEATHERS from Zara'}]",women,DRESSES_JUMPSUITS,satin dress feather,fit midi dress viscose strapless match feather appliqués invisible zip fastening,Other,satin viscose dress midi
227,"[{'https://static.zara.net/photos///2023/I/0/1/p/5520/081/400/19/w/448/5520081400_1_1_1.jpg?ts=1688126428450': 'Image 0 of DENIM TRF MIDI DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/5520/081/400/19/w/448/5520081400_2_1_1.jpg?ts=1688126428012': 'Image 1 of DENIM TRF MIDI DRESS from Zara'}]",women,DRESSES_JUMPSUITS,denim trf midi dress,midi dress vneckline adjustable thin strap,Other,denim denim dress midi
228,"[{'https://static.zara.net/photos///2023/I/0/1/p/2298/173/600/2/w/448/2298173600_1_1_1.jpg?ts=1692699026829': 'Image 0 of CORSETRY-INSPIRED MIDI DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2298/173/600/2/w/448/2298173600_2_1_1.jpg?ts=1692699026983': 'Image 1 of CORSETRY-INSPIRED MIDI DRESS from Zara'}]",women,DRESSES_JUMPSUITS,corsetryinspire midi dress,vneck midi dress thin strap feature ring detail chest cutout detail drape fabric slit hem invisible zip fastening,Other,dress ring midi
229,"[{'https://static.zara.net/photos///2023/I/0/1/p/8351/224/800/2/w/448/8351224800_1_1_1.jpg?ts=1692792858610': 'Image 0 of TEXTURED MIDI DRESS WITH BELT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8351/224/800/2/w/448/8351224800_2_1_1.jpg?ts=1692792858976': 'Image 1 of TEXTURED MIDI DRESS WITH BELT from Zara'}]",women,DRESSES_JUMPSUITS,texture midi dress belt,midi dress lapel collar vneck long sleeve cuff patch pocket chest combine belt tortoiseshell effect buckle inner lining button fastening,Other,belt dress lapel long midi
230,"[{'https://static.zara.net/photos///2023/I/0/1/p/9479/268/518/3/w/448/9479268518_1_1_1.jpg?ts=1687855034746': 'Image 0 of GATHERED LINEN BLEND DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/9479/268/518/3/w/448/9479268518_2_1_1.jpg?ts=1687855036183': 'Image 1 of GATHERED LINEN BLEND DRESS from Zara'}]",women,DRESSES_JUMPSUITS,gather linen blend dress,sleeveless midi dress linen viscose blend feature wide neckline gather detail pleat slit hem,Other,linen viscose dress midi sleeveless
231,"[{'https://static.zara.net/photos///2023/I/0/1/p/6427/122/050/2/w/448/6427122050_1_1_1.jpg?ts=1692790314025': 'Image 0 of PRINTED KNIT DRESS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6427/122/050/2/w/448/6427122050_2_1_1.jpg?ts=1692798056932': 'Image 1 of PRINTED KNIT DRESS from Zara'}]",women,DRESSES_JUMPSUITS,print knit dress,fit midi dress straightcut neckline thin strap,Other,knit dress knit midi
