gender,product_category,product_name,details,category_type,combined_features
women,DRESSES_JUMPSUITS,texture midi dress belt,midi dress lapel collar vneck long sleeve cuff patch pocket chest combine belt tortoiseshell effect buckle inner lining button fastening,Other,belt dress lapel long midi
women,DRESSES_JUMPSUITS,gather linen blend dress,sleeveless midi dress linen viscose blend feature wide neckline gather detail pleat slit hem,Other,linen viscose dress midi sleeveless
women,DRESSES_JUMPSUITS,print knit dress,fit midi dress straightcut neckline thin strap,Other,knit dress knit midi
women,DRESSES_JUMPSUITS,print linen blend shirt dress,dress linen blend johnny collar short sleeve buttoned tab patch pocket button belt,Other,linen belt dress shirt short short
women,DRESSES_JUMPSUITS,long dress ruffle,long dress viscose vneck thin strap ruffle detail fabric,Other,viscose dress long
women,DRESSES_JUMPSUITS,asymmetric midi dress,midi dress knit fabric asymmetric neckline drape fabric matching line vent hem invisible zip fastening,Other,knit dress knit midi
women,DRESSES_JUMPSUITS,linen blend midi dress,sleeveless dress linen cotton blend fabric round neck split hem fasten button zip,Other,cotton linen dress midi sleeveless
women,DRESSES_JUMPSUITS,print halter dress,midi dress cotton halter neck vneck adjustable tie collar pleated detail chest tie belt fabric open elastic flare hem,Other,cotton belt dress midi
women,DRESSES_JUMPSUITS,asymmetric tunic blouse,blouse viscose blend feature vneckline short sleeve adjustable drawstring waist fabric,Other,viscose blouse short short
women,DRESSES_JUMPSUITS,halter midi dress buckle,dress feature cowl neckline halter neck tie detail open crossover gold buckle gather detail slit hem,Other,dress midi
women,DRESSES_JUMPSUITS,suiteffect jumpsuit,jumpsuit straight neckline thin strap pocket fake rear welt pocket fasten button zip inside button metal hook,Other,jumpsuit
women,DRESSES_JUMPSUITS,slip dress bead,midi dress straightcut neckline thin strap multicoloure bead slit hem invisible zip fastening,Other,dress midi
women,DRESSES_JUMPSUITS,twopiece flare jumpsuit,strapless jumpsuit false jetted pocket feature flare hem hide zip fasten golden button,Other,jumpsuit
women,DRESSES_JUMPSUITS,print drape tulle dress,midi dress cowl neckline thin strap drape fabric asymmetric hem contrast line open strap detail,Other,dress midi
women,DRESSES_JUMPSUITS,print fit strapless dress,midi dress tulle straight neckline expose shoulder drape fabric side contrast lining,Other,dress midi
women,DRESSES_JUMPSUITS,strapless dress cutout detail,strapless midi dress cutout detail,Other,dress midi
women,DRESSES_JUMPSUITS,drape neck dress,midi dress drape neckline thin double strap,Other,dress midi
women,DRESSES_JUMPSUITS,midi shirt dress,johnny collar dress feature long sleeve false flap pocket button fastening matching belt golden buckle,Other,belt dress shirt long midi
women,DRESSES_JUMPSUITS,print cutout tulle dress,offtheshoulder midi dress straight neckline drape fabric open detail line invisible zip fastening,Other,dress midi
women,DRESSES_JUMPSUITS,denim jumpsuit,woman fit jumpsuit lapel collar short sleeve pocket chest patch pocket fade effect contrast pronounce topstitching belt loop fray hem fasten metal zipview,Other,denim belt denim jumpsuit lapel short short
women,DRESSES_JUMPSUITS,pleated shirt dress belt,collar dress long sleeve elastic waist contrast belt line fasten gold button,Other,belt dress shirt long
women,DRESSES_JUMPSUITS,long asymmetric jumpsuit,sleeveless jumpsuit asymmetric neckline goldtone buckle detail shoulder gather side dart pocket wideleg design invisible zip fastening,Other,jumpsuit long sleeveless
women,DRESSES_JUMPSUITS,lacetrimme print dress,dress vneckline long cuff sleeve contrast lace trim panel hem fasten cover button,Other,dress long
women,DRESSES_JUMPSUITS,long print dress,collar cotton long dress sleeve fall elbow ruffle hem buttonup,Other,cotton dress long
women,DRESSES_JUMPSUITS,match dress cutout detail,sleeveless dress feature round neck gather opening detail waist fasten invisible zip buttoned opening combine satin fabric detail,Other,satin dress sleeveless
women,DRESSES_JUMPSUITS,strapless nylon jumpsuit,jumpsuit straight neckline expose shoulder pocket flap detail belt loop hookandloop strap invisible zip fasten metal brooch detail,Other,nylon belt jumpsuit
women,DRESSES_JUMPSUITS,crochet print dress,midi dress cotton round neck thin strap cross matching crochet bead appliqué lining,Other,cotton dress midi
women,DRESSES_JUMPSUITS,asymmetric long dress ruffle,long sleeve satiny dress asymmetric neckline feature pleated ruffle trim,Other,satiny dress long
women,DRESSES_JUMPSUITS,drape halter dress,midi dress vneck gather halter neck buckles slit invisible zip fastening,Other,dress midi
women,DRESSES_JUMPSUITS,jumpsuit pleated ruffle,sleeveless jumpsuit round neck pleated ruffle match belt detail wide leg invisible zip fasten button opening,Other,belt jumpsuit sleeveless
women,DRESSES_JUMPSUITS,strapless jumpsuit,strapless jumpsuit wideleg design invisible zip fastening,Other,jumpsuit
women,DRESSES_JUMPSUITS,fit strappy halter dress,halterneck midi dress thin strap,Other,dress halterneck midi
women,DRESSES_JUMPSUITS,short print dress,short cotton dress straight neckline short sleeve smock detail contrast print,Other,cotton dress short short
women,DRESSES_JUMPSUITS,fit jacquard dress,sleeveless midi dress round neck floral jacquard detail,Other,dress midi sleeveless
women,DRESSES_JUMPSUITS,short fit ruffle dress,fit sleeveless dress cotton vneckline contrast poplin fabric ruffle chest,Other,cotton poplin dress short short sleeveless
women,DRESSES_JUMPSUITS,short print dress,short dress cotton square neckline adjustable tie fabric puff short sleeve elasticate trim elasticate smocked detail,Other,cotton dress short short
women,DRESSES_JUMPSUITS,strapless flow jumpsuit,straightleg strapless jumpsuit layer cape detail fabric,Other,cape jumpsuit
women,DRESSES_JUMPSUITS,asymmetric midi dress golden appliqué,dress feature asymmetric neckline golden appliqué shoulder opening detail waist gather invisible zip fastening,Other,dress midi
women,DRESSES_JUMPSUITS,asymmetric dress metal piece,midi dress asymmetric neckline long sleeve sleeveless arm metal piece detail drape fabric slit hem invisible zip fastening,Other,dress long midi sleeveless
women,DRESSES_JUMPSUITS,faux suede dress rhinestone,short dress round neck short sleeve rhinestone appliqué,Other,faux suede dress short short
women,DRESSES_JUMPSUITS,print fit strapless tulle dress,strapless midi dress straightcut neckline drape fabric knot detail chest matching lining,Other,dress midi
women,DRESSES_JUMPSUITS,dress match pocket,sleeveless midi dress round neck feature patch pocket contrast fabric detail,Other,dress midi sleeveless
women,DRESSES_JUMPSUITS,pleated midi dress,dress feature straightcut neckline gather line invisible zip fastening,Other,dress midi
women,DRESSES_JUMPSUITS,print linen blend midi dress,dress linen blend fabric crossover halter neck tie detail gather detail slit hem invisible zip fastening,Other,linen dress midi
women,DRESSES_JUMPSUITS,linen shirt dress,sleeveless midi dress linen johnny collar patch pocket flap chest fray trim fabric fasten match button,Other,linen dress shirt midi sleeveless
women,DRESSES_JUMPSUITS,ruffle print dress,sleeveless vneck midi dress metallic thread detail ruffle slit hem combine line invisible zip fastening,Other,dress midi sleeveless
women,DRESSES_JUMPSUITS,ruffle print dress,vneck dress thin strap cross feature ruffle trim line slit hem invisible zip fastening,Other,dress
women,DRESSES_JUMPSUITS,z denim dress,collar mini dress vneckline short sleeve feature patch pocket metal button fasten,Other,denim denim dress short mini short
women,DRESSES_JUMPSUITS,linen blend long waistcoat,sleeveless waistcoat linen blend lapel collar patch pocket button fastening belt fabric,Other,linen belt lapel waistcoat long sleeveless
women,DRESSES_JUMPSUITS,loosefitte belted jumpsuit,jumpsuit feature johnny collar turnup long sleeve buttoned tab patch pocket elastic waistband matching belt straightleg design buttonup,Other,belt jumpsuit long
women,DRESSES_JUMPSUITS,ruffle floral print dress,vneck midi dress wide ruffle elastic strap slit hem ruffle trim,Other,dress midi
women,DRESSES_JUMPSUITS,satin dress rhinestone strap,midi dress feature straight neckline thin strap rhinestones gather detail slit hem invisible zip fastening,Other,satin dress midi
women,DRESSES_JUMPSUITS,cotton dress tassel embroidery,midi dress cotton fabric vneck sleeve fall elbow pleated waist contrast embroidery tassel detail asymmetric hem slit,Other,cotton dress midi
women,DRESSES_JUMPSUITS,sequinne midi dress,sleeveless dress round neckline sequin appliqué contrast lining,Other,dress midi sleeveless
women,DRESSES_JUMPSUITS,jumpsuit golden button,vneck jumpsuit thin double strap decorative dart decorative button waist wideleg design feature slit hem button invisible zip fastening,Other,jumpsuit
women,DRESSES_JUMPSUITS,denim jumpsuit,collar jumpsuit vneckline short sleeve elasticate waist pocket patch pocket straight leg turnup hem zip button fastening,Other,denim denim jumpsuit short short
women,DRESSES_JUMPSUITS,linen blend midi dress,midi dress linen blend fabric straightcut neckline thin strap cross adjustable tie gather detail slit hem invisible zip fastening,Other,linen dress midi
women,DRESSES_JUMPSUITS,cutwork embroidery midi dress,dress feature ruffle straight neckline elasticate trim short sleeve belt fabric buckle matching cutwork embroidery line button fastening,Other,belt dress short midi short
women,DRESSES_JUMPSUITS,belt wideleg jumpsuit,sleeveless vneck jumpsuit feature contrast belt wideleg design invisible zip fastening,Other,belt jumpsuit sleeveless
women,DRESSES_JUMPSUITS,embroider tunic dress,tunic dress viscose blend vneckline short sleeve contrast embroidery detail fasten tie,Other,viscose dress short short
women,DRESSES_JUMPSUITS,ruffle midi slip dress,vneck dress short sleeve ruffle trim line slit hem,Other,dress short midi short
women,DRESSES_JUMPSUITS,asymmetric linen dress,short dress linen asymmetric neckline wide strap pleat bow detail match fabric fringe invisible zip fastening,Other,linen bow dress short short
women,DRESSES_JUMPSUITS,midi dress cutout detail,sleeveless dress round neckline pad shoulder opening waist gather slit hem invisible zip fastening,Other,dress midi sleeveless
women,DRESSES_JUMPSUITS,print shirt dress,midi dress lapel collar vneck long sleeve cuff combine belt metallic buckle button fastening,Other,belt dress lapel shirt long midi
women,DRESSES_JUMPSUITS,shirt dress belt,collar midi dress feature turnup long sleeve buttoned tab contrast belt dart waist buttonup,Other,belt dress shirt long midi
women,DRESSES_JUMPSUITS,asymmetric tulle dress,midi dress round neck sleeveless long sleeve drape fabric contrast line invisible zip fastening,Other,dress long midi sleeveless
women,DRESSES_JUMPSUITS,mini dress puff sleeve,dress feature straight neckline elastic puff sleeve invisible zip fastening,Other,dress mini
women,DRESSES_JUMPSUITS,print dress belt,collar dress vneckline short sleeve belt detail fabric buckle buttonup flare hem,Other,belt dress short short
women,DRESSES_JUMPSUITS,trf denim dress,short denim dress lapel collar loosefitte long sleeve feature chest patch pocket zipup polostyle,Other,denim denim dress lapel short long short
women,DRESSES_JUMPSUITS,short texture dress,short dress straightcut neckline thin adjustable strap elasticate smocked fabric matching lining,Other,dress short short
women,DRESSES_JUMPSUITS,fit strapless texture dress,offtheshoulder dress texture fabric straight neckline pleated detail,Other,dress
women,DRESSES_JUMPSUITS,long blazer belt,blazer lapel collar long sleeve shoulder pad flap pocket belt buckle line match fabric contrast lining doublebreaste fasten cover button,Other,belt blazer lapel long
women,DRESSES_JUMPSUITS,fit texture dress,sleeveless long dress texture fabric round neck,Other,dress long sleeveless
women,DRESSES_JUMPSUITS,midi dress cutout detail,strappy dress straightcut neckline cutout detail waist elasticate band slit hem invisible zip fastening,Other,band dress midi
women,DRESSES_JUMPSUITS,linenblend corsetryinspire dress,midi dress linen blend fabric straightcut neckline thin strap cross gather detail wide elasticate smocking slit hem invisible zip fastening,Other,linen dress midi
women,DRESSES_JUMPSUITS,sequinne midi dress cutout detail,sleeveless dress round neckline pad shoulder opening waist slit hem invisible zip fasten buttoned opening,Other,dress midi sleeveless
women,DRESSES_JUMPSUITS,print midi dress cutout detail,dress feature slot collar long sleeve elastic trim elastic waistband opening split hem buttonup,Other,dress long midi
women,DRESSES_JUMPSUITS,gather short dress,sleeveless dress knit fabric round neckline drape fabric invisible zip fastening,Other,knit dress short knit short sleeveless
women,DRESSES_JUMPSUITS,pleated jumpsuit knot waist,sleeveless round neck jumpsuit knot detail waist open wideleg design line invisible zip fastening,Other,jumpsuit sleeveless
women,DRESSES_JUMPSUITS,pleated ruffle mini dress,dress straight neckline pleated ruffle line invisible zip fastening,Other,dress mini
women,DRESSES_JUMPSUITS,fit asymmetric drape dress,sleeveless midi dress asymmetric neckline drape detail,Other,dress midi sleeveless
women,DRESSES_JUMPSUITS,strapless jumpsuit,jumpsuit straight neckline expose shoulder box pleat detail cover button invisible zip fastening,Other,box jumpsuit
women,DRESSES_JUMPSUITS,tiedye print halter slip dress,satin halter neck dress thin strap,Other,satin dress
women,DRESSES_JUMPSUITS,multicoloure dotted mesh playsuit dress,playsuit dress plunge vneckline long sleeve elastic trim shortsstyle line fasten invisible zip tie,Other,dress playsuit long shortsstyle
women,DRESSES_JUMPSUITS,kaftan wooden bead,vneck kaftan short sleeve drawstring wooden bead,Other,short short
women,DRESSES_JUMPSUITS,asymmetric denim trf dress,sleeveless midi dress asymmetric neckline feature fray hem metal zip fasten,Other,denim denim dress midi sleeveless
women,DRESSES_JUMPSUITS,topstitche midi dress,midi dress straightcut neckline wide strap cross contrast topstitche inseam pocket smock fabric,Other,dress midi
women,DRESSES_JUMPSUITS,long fit asymmetric dress,sleeveless long dress asymmetric neckline open detail shoulder,Other,dress long sleeveless
women,DRESSES_JUMPSUITS,linen blend midi dress cutout detail,dress linen blend vneck gathering thin strap cross cutout detail waist slit hem invisible zip fastening,Other,linen dress midi
women,DRESSES_JUMPSUITS,contrast crochet knit dress,dress straight neckline thin strap match crochet fabric detail tonal embroidery,Other,knit dress knit
women,DRESSES_JUMPSUITS,print tulle dress,short dress feature high neck long sleeve drape fabric lining invisible zip fastening,Other,dress short long short
women,DRESSES_JUMPSUITS,print cutout tulle dress,short sleeveless dress round neckline cutout detail waist drape fabric invisible zip fastening,Other,dress short short sleeveless
women,DRESSES_JUMPSUITS,print strapless tulle dress,offtheshoulder midi dress straightcut neckline drape fabric invisible zip fastening,Other,dress midi
women,DRESSES_JUMPSUITS,long fit elastic dress,long dress straightcut neckline elasticate thin strap,Other,dress long
women,DRESSES_JUMPSUITS,lacetrimme dress,satin dress feature vneck lace wide strap hem slit invisible zip fastening,Other,satin dress
women,DRESSES_JUMPSUITS,linen blend print jumpsuit,jumpsuit linen blend straight neckline expose shoulder chest tab metal button pocket metal zip fastening,Other,linen jumpsuit
women,DRESSES_JUMPSUITS,bead halter dress,short halter dress adjustable bead appliqué tie fabric expose shoulder open elastic asymmetric hem lining,Other,dress short short
women,DRESSES_JUMPSUITS,raffia jumpsuit belt,sleeveless jumpsuit vneckline feature wideleg design hidden button fasten,Other,belt jumpsuit sleeveless
women,DRESSES_JUMPSUITS,linen blend midi shirt dress,dress linen blend johnny collar short turnup sleeve belt detail match fabric gold buckle buttonup fasten slit hem,Other,linen belt dress shirt short midi short
women,DRESSES_JUMPSUITS,denim midi dress,womandress sweetheart neckline expose shoulder feature contrast seam detail slit hem zip fasten backview,Other,denim denim dress midi
women,DRESSES_JUMPSUITS,straight neck jumpsuit layered detail,straight neck jumpsuit layer appliqué wideleg design invisible zip fastening,Other,jumpsuit
women,DRESSES_JUMPSUITS,panel print dress,midi dress cotton vneck thin strap asymmetric panel hem,Other,cotton dress midi
women,DRESSES_JUMPSUITS,linen blend halter neck midi dress,dress linen blend crossover halter neck knot open flare hem invisible zip fastening,Other,linen dress midi
women,DRESSES_JUMPSUITS,poplin shirt dress,midi dress feature johnny collar turnup short sleeve buttoned tabs match belt detail buckle flare hem fasten goldtone button,Other,poplin belt dress shirt short midi short
